flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:11 11:0:41 10013 100 17,2.000646989,29.925209636,30.271660075,1320,1356,8268,8268,28.271013086,1
11:0:11 11:0:41 10048 100 17,2.002679356,65.164059655,65.482178687,6559,6625,65847,65847,63.479499331,2
11:0:11 11:0:41 10020 100 17,2.000991382,9.813562289,10.209073029,137,147,8651,8651,8.208081647,1
11:0:11 11:0:41 10025 100 17,2.001297777,15.194710398,15.557567847,329,345,8232,8232,13.55627007,1
11:0:11 11:0:41 10003 100 17,2.000134797,29.270803209,29.616220868,1251,1280,8227,8227,27.616086071,1
11:0:11 11:0:41 10046 100 17,2.002411957,66.370645597,66.685248634,6789,6853,65613,65613,64.682836677,2
11:0:11 11:0:41 10001 100 17,2.000068399,17.771506186,18.129007798,449,466,8247,8247,16.128939399,1
11:0:11 11:0:41 10004 100 17,2.000174997,22.661935342,23.008915065,754,783,8226,8226,21.008740068,1
11:0:11 11:0:41 10002 100 17,2.000103398,14.869764001,15.234163627,318,337,8276,8276,13.234060229,1
11:0:11 11:0:41 10095 100 17,2.014168916,199.842108192,199.842074194,65740,65736,911106,909646,197.827905278,3
11:0:11 11:0:41 10044 100 17,2.002331559,12.634430373,13.023526033,237,256,8333,8333,11.021194474,1
11:0:11 11:0:41 10057 100 17,2.003932747,199.881395274,199.881369276,66167,66164,933554,932054,197.877436529,3
11:0:11 11:0:41 10071 100 17,2.007588136,199.841796993,199.841770995,66143,66140,945000,943500,197.834182859,3
11:0:11 11:0:41 10006 100 17,2.000245595,15.107250562,15.471065205,315,330,8230,8230,13.47081961,1
11:0:11 11:0:41 10009 100 17,2.000390792,10.209241628,10.606313153,145,153,8442,8442,8.605922361,1
11:0:11 11:0:41 10028 100 17,2.001486174,10.235221506,10.631163634,145,155,8422,8422,8.62967746,1
11:0:11 11:0:41 10018 100 17,2.000853184,18.827325122,19.181169578,504,522,8321,8321,17.180316394,1
11:0:11 11:0:41 10021 100 17,2.001070181,14.053488058,14.426618561,292,307,8378,8378,12.42554838,1
11:0:11 11:0:41 10010 100 17,2.000425991,16.195269984,16.551400138,362,376,8422,8422,14.550974147,1
11:0:11 11:0:41 10000 100 17,2,20.126735561,20.476328046,599,622,8213,8213,18.476328046,1
11:0:11 11:0:41 10039 100 17,2.002121964,13.64880016,14.024295605,272,287,8291,8291,12.022173641,1
11:0:11 11:0:41 10005 100 17,2.000216996,33.379965659,33.719257778,1649,1687,8267,8267,31.719040782,1
11:0:11 11:0:41 10079 100 17,2.00962293,199.85266516,199.852639162,66149,66146,937829,936329,197.843016232,3
11:0:11 11:0:41 10029 100 17,2.001548373,15.89808082,16.254224554,374,392,8199,8199,14.252676181,1
11:0:11 11:0:41 10038 100 17,2.002097765,23.350401411,23.698800143,802,831,8237,8237,21.696702378,1
11:0:11 11:0:41 10043 100 17,2.00228476,25.467222113,25.819032891,949,979,8305,8305,23.816748131,1
11:0:11 11:0:41 10030 100 17,2.001614572,29.915232676,30.261273714,1308,1337,8228,8228,28.259659142,1
11:0:11 11:0:41 10031 100 17,2.001647971,20.168121408,20.516585091,583,603,8327,8327,18.51493712,1
11:0:11 11:0:41 10032 100 17,2.00171197,9.030066579,9.426738894,121,130,8317,8317,7.425026924,1
11:0:11 11:0:41 10033 100 17,2.00182597,16.573908662,16.927491823,381,395,8282,8282,14.925665853,1
11:0:11 11:0:41 10052 100 17,2.003341952,171.577737269,171.873459798,48312,48486,65538,65538,169.870117846,2
11:0:11 11:0:41 10081 100 17,2.010245328,199.853909956,199.853883958,66151,66148,945000,943500,197.84363863,3
11:0:11 11:0:41 10019 100 17,2.000889983,11.43248276,11.818949559,186,198,8502,8502,9.818059576,1
11:0:11 11:0:41 10035 100 17,2.001934368,14.580112625,14.94808342,315,336,8204,8204,12.946149052,1
11:0:11 11:0:41 10037 100 17,2.002049366,21.606407629,21.95658254,674,696,8272,8272,19.954533174,1
11:0:11 11:0:41 10080 100 17,2.009934129,199.853287558,199.85326156,66150,66147,945000,943500,197.843327431,3
11:0:11 11:0:41 10040 100 17,2.002175963,14.590270776,14.958375174,295,308,8229,8229,12.956199211,1
11:0:11 11:0:41 10058 100 17,2.004243946,199.785091159,199.785062761,66007,66004,898778,897338,197.780818815,3
11:0:11 11:0:41 10041 100 17,2.002232162,9.413642764,9.813569488,121,129,8249,8249,7.811337326,1
11:0:11 11:0:41 10083 100 17,2.010859726,199.856322748,199.85629675,66154,66151,933626,932126,197.845437024,3
11:0:11 11:0:41 10042 100 17,2.002263161,31.653063833,31.99303952,1486,1525,8253,8253,29.990776359,1
11:0:11 11:0:41 10007 100 17,2.000276994,12.644544711,13.032668775,241,260,8352,8352,11.032391781,1
11:0:11 11:0:41 10045 100 17,2.002389958,73.550206934,73.858301621,8431,8504,65726,65726,71.855911663,2
11:0:11 11:0:41 10047 100 17,2.002657357,67.558422801,67.873868853,7040,7105,65686,65686,65.871211496,2
11:0:11 11:0:41 10094 100 17,2.013939116,199.864884723,199.864858725,66156,66153,688590,687497,197.850919609,3
11:0:11 11:0:41 10062 100 17,2.005466344,199.784789559,199.784763561,62082,62067,832320,830868,197.779297217,3
11:0:11 11:0:41 10011 100 17,2.00048939,12.731626233,13.118788099,215,226,8664,8664,11.118298709,1
11:0:11 11:0:41 10050 100 17,2.003112554,54.181803912,54.506125925,4477,4535,66208,66208,52.503013371,2
11:0:11 11:0:41 10051 100 17,2.003319953,61.9572464,62.277375204,5906,5972,65558,65558,60.274055251,2
11:0:11 11:0:41 10054 100 17,2.00357795,70.150544502,70.465743776,7607,7675,65657,65657,68.462165826,2
