flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:
11:0:11 11:0:41 10046 100 17,2.001248755,130.25108866,130.269503592,240588,240657,128.268254837,2
11:0:11 11:0:41 10001 100 17,2.000025399,127.727158321,127.745844454,5676,5677,125.745819055,1
11:0:11 11:0:41 10004 100 17,2.000111396,125.15565283,125.174309169,1692,1692,123.174197773,1
11:0:11 11:0:41 10002 100 17,2.000050598,117.582804885,117.599902219,1059,1059,115.599851621,1
11:0:11 11:0:41 10095 100 17,2.003813513,131.336705156,131.353752903,55004,55038,129.34993939,3
11:0:11 11:0:41 10044 100 17,2.001195957,127.371775984,127.389081122,2211,2211,125.387885165,1
11:0:11 11:0:41 10057 100 17,2.002003344,194.764242797,194.778502552,554881,554993,192.776499208,3
11:0:11 11:0:41 10071 100 17,2.002503531,140.147995124,140.167035659,138881,138931,138.164532128,3
11:0:11 11:0:41 10006 100 17,2.000174594,128.18889689,128.205238624,1933,1933,126.20506403,1
11:0:11 11:0:41 10009 100 17,2.000262991,103.003987882,103.022767814,2954,2956,101.022504823,1
11:0:11 11:0:41 10028 100 17,2.000741372,125.667634817,125.686625349,2080,2080,123.685883977,1
11:0:11 11:0:41 10018 100 17,2.000490782,118.904007171,118.924880695,1842,1845,116.924389913,1
11:0:11 11:0:41 10021 100 17,2.000565979,121.448743067,121.467843594,1954,1954,119.467277615,1
11:0:11 11:0:41 10010 100 17,2.00028839,121.437479703,121.457539637,1951,1951,119.457251247,1
11:0:11 11:0:41 10000 100 17,2,118.350789492,118.368471824,1836,1836,116.368471824,1
11:0:11 11:0:41 10039 100 17,2.001052562,117.716039566,117.735434096,1171,1172,115.734381534,1
11:0:11 11:0:41 10005 100 17,2.000149595,124.976870434,124.994219577,2089,2093,122.994069982,1
11:0:11 11:0:41 10079 100 17,2.003087726,234.21016871,234.220188684,1695773,1695996,232.217100958,3
11:0:11 11:0:41 10029 100 17,2.000766171,118.196674243,118.216278172,2942,2943,116.215512001,1
11:0:11 11:0:41 10038 100 17,2.001029563,97.98053352,98.000529047,2336,2338,95.999499484,1
11:0:11 11:0:41 10043 100 17,2.001170758,128.17863273,128.194840665,2052,2052,126.193669907,1
11:0:11 11:0:41 10030 100 17,2.00079097,126.866037813,126.885826747,1775,1775,124.885035777,1
11:0:11 11:0:41 10031 100 17,2.000829369,107.660797823,107.681445552,990,991,105.680616183,1
11:0:11 11:0:41 10032 100 17,2.000867369,125.489789073,125.508562608,2089,2089,123.507695239,1
11:0:11 11:0:41 10033 100 17,2.000892768,122.970032112,122.988514644,1461,1461,120.987621876,1
11:0:11 11:0:41 10052 100 17,2.001529749,126.746740248,126.765337184,144644,144689,124.763807435,2
11:0:11 11:0:41 10081 100 17,2.003150124,393.5622428,393.564178395,8857303,8857618,391.561028271,3
11:0:11 11:0:41 10019 100 17,2.000515781,117.501171586,117.520935311,1838,1838,115.52041953,1
11:0:11 11:0:41 10035 100 17,2.000953566,124.00440041,124.021890158,2077,2083,122.020936592,1
11:0:11 11:0:41 10037 100 17,2.001004364,118.90403197,118.924905894,1842,1845,116.92390153,1
11:0:11 11:0:41 10080 100 17,2.003126925,369.898570397,369.902820583,2301083,2301226,367.899693658,3
11:0:11 11:0:41 10040 100 17,2.001090761,125.342154178,125.360017316,2086,2086,123.358926555,1
11:0:11 11:0:41 10058 100 17,2.002028743,176.319859195,176.33699974,275212,275290,174.334970997,3
11:0:11 11:0:41 10041 100 17,2.00111576,127.297247664,127.317656391,3792,3793,125.316540631,1
11:0:11 11:0:41 10083 100 17,2.003200522,204.286481231,204.298306395,636900,637027,202.295105873,3
11:0:11 11:0:41 10042 100 17,2.001145559,127.52723063,127.546719563,2214,2217,125.545574004,1
11:0:11 11:0:41 10007 100 17,2.000199993,104.407042111,104.425301246,1356,1357,102.425101253,1
11:0:11 11:0:41 10045 100 17,2.001221156,171.192074193,171.208625541,356402,356490,169.207404385,2
11:0:11 11:0:41 10047 100 17,2.001272954,162.867806965,162.884465903,282594,282674,160.883192949,2
11:0:11 11:0:41 10094 100 17,2.003786713,4046.422433865,4046.422489465,32510207,32510224,4044.418702752,3
11:0:11 11:0:41 10062 100 17,2.002123739,571.699813946,571.699854744,46406168,46406653,569.697731005,3
11:0:11 11:0:41 10011 100 17,2.000313189,128.561388349,128.58037348,2196,2198,126.580060291,1
11:0:11 11:0:41 10050 100 17,2.001431551,173.050740458,173.064280614,339586,339661,171.062849063,2
11:0:11 11:0:41 10051 100 17,2.00149455,139.946610227,139.962934771,32118,32121,137.961440221,2
11:0:11 11:0:41 10054 100 17,2.001631147,227.718200218,227.72652619,852830,852954,225.724895043,2
11:0:11 11:0:41 10056 100 17,2.001978345,172.507842689,172.52325543,461588,461680,170.521277085,3
11:0:11 11:0:41 10055 100 17,2.001671146,176.279155509,176.297099263,276078,276138,174.295428117,3
11:0:21 11:0:41 10097 100 17,2.00577091,132.645735084,132.665407623,194284,194334,130.659636713,3
11:0:21 11:0:41 10094 100 17,2.005462713,434.199028899,434.202232892,10339475,10339811,432.196770179,3
11:0:21 11:0:41 10093 100 17,2.005420914,295.097787471,295.103234259,3091498,3091739,293.097813345,3
11:0:21 11:0:41 10091 100 17,2.005093716,115.876605907,115.894556843,104064,104095,113.889463127,3
11:0:21 11:0:41 10090 100 17,2.005056117,1143.730477943,1143.730555141,183491803,183492300,1141.725499024,3
11:0:21 11:0:41 10087 100 17,2.004697119,245.242979279,245.250414258,1140472,1140622,243.245717139,3
11:0:21 11:0:41 10086 100 17,2.00467192,202.355746626,202.367068991,706889,707018,200.362397071,3
11:0:21 11:0:41 10089 100 17,2.005029317,133.678626773,133.699138502,441327,441453,131.694109185,3
11:0:21 11:0:41 10084 100 17,2.004616122,461.844149363,461.846361359,5304997,5305232,459.841745237,3
11:0:21 11:0:41 10096 100 17,2.005732511,461.112722653,461.114819648,5287633,5287876,459.109087137,3
11:0:21 11:0:41 10083 100 17,2.004368522,429.916285589,429.919050779,10236120,10236434,427.914682257,3
11:0:21 11:0:41 10079 100 17,2.003977926,217.822422101,217.83287967,686938,687044,215.828901744,3
11:0:21 11:0:41 10077 100 17,2.003910928,455.225226286,455.226894477,25833509,25833930,453.222983549,3
11:0:21 11:0:41 10076 100 17,2.003888529,522.327729047,522.327823506,13153757,13153867,520.323934977,3
11:0:21 11:0:41 10099 100 17,2.005842908,263.011917294,263.01904147,1345430,1345599,261.013198562,3
11:0:21 11:0:41 10072 100 17,2.003743733,194.120559726,194.134935286,522664,522764,192.131191553,3
11:0:21 11:0:41 10071 100 17,2.003721334,3177.307601703,3177.307647701,221144602,221144989,3175.303926367,3
11:0:21 11:0:41 10092 100 17,2.005396115,150.988761696,151.007042241,352125,352216,149.001646126,3
11:0:21 11:0:41 10069 100 17,2.003672335,268.932179857,268.939254235,2625976,2626228,266.9355819,3
11:0:21 11:0:41 10066 100 17,2.003292338,104.512642538,104.530785873,69211,69235,102.527493535,3
11:0:21 11:0:41 10065 100 17,2.003047139,145.040625695,145.057001637,120939,120974,143.053954498,3
11:0:21 11:0:41 10063 100 17,2.002975541,135.568457292,135.587441228,88926,88951,133.584465687,3
11:0:21 11:0:41 10062 100 17,2.002950542,156.467540573,156.482554125,171871,171921,154.479603583,3
11:0:21 11:0:41 10028 100 17,2.000806173,128.657418624,128.675896366,2204,2208,126.675090193,1
11:0:21 11:0:41 10027 100 17,2.000768173,118.694133495,118.712851434,1335,1335,116.712083261,1
11:0:21 11:0:41 10025 100 17,2.000718575,95.480511257,95.500876987,3974,3976,93.500158412,1
11:0:21 11:0:41 10098 100 17,2.005796309,846.950369384,846.950454582,1611932,1611946,844.944658273,3
11:0:21 11:0:41 10070 100 17,2.003699135,522.307465252,522.307731982,13019255,13019369,520.304032847,3
11:0:21 11:0:41 10022 100 17,2.000617778,120.090444664,120.110257189,2895,2896,118.109639411,1
11:0:21 11:0:41 10021 100 17,2.000579579,117.514919935,117.534735065,1159,1159,115.534155486,1
11:0:21 11:0:41 10053 100 17,2.00157275,135.359079381,135.380499712,183106,183162,133.378926962,2
11:0:21 11:0:41 10020 100 17,2.00055418,125.348700358,125.366094696,2083,2086,123.365540516,1
11:0:21 11:0:41 10067 100 17,2.003317537,273.901360125,273.909118907,1536248,1536405,271.90580137,3
11:0:21 11:0:41 10047 100 17,2.001365355,194.773792363,194.787634324,666172,666304,192.786268969,2
11:0:21 11:0:41 10019 100 17,2.000529381,128.251919654,128.270222986,2212,2212,126.269693605,1
11:0:21 11:0:41 10044 100 17,2.001257958,124.806957838,124.826884574,1428,1430,122.825626616,1
11:0:21 11:0:41 10080 100 17,2.004284925,179.069254116,179.083756861,503432,503529,177.079471936,3
11:0:21 11:0:41 10024 100 17,2.000693776,92.124401628,92.144918563,1961,1961,90.144224787,1
11:0:21 11:0:41 10055 100 17,2.001729148,220.470187951,220.480945917,844255,844399,218.479216769,3
11:0:21 11:0:41 10018 100 17,2.000504582,118.728182779,118.748170113,1836,1836,116.747665531,1
11:0:21 11:0:41 10023 100 17,2.000655977,125.945072638,125.962635975,2998,2999,123.961979998,1
11:0:21 11:0:41 10085 100 17,2.004645721,271.996593642,272.002358229,1453560,1453727,269.997712508,3
11:0:21 11:0:41 10058 100 17,2.002277145,571.077660689,571.077720689,23130581,23130941,569.075443544,3
11:0:21 11:0:41 10064 100 17,2.00300094,407.661422951,407.663364544,1049198,1049356,405.660363604,3
11:0:21 11:0:41 10017 100 17,2.000479183,116.563291815,116.579913158,2592,2594,114.579433975,1
11:0:21 11:0:41 10078 100 17,2.003931727,204.124868956,204.135822517,879408,879578,202.13189079,3
11:0:21 11:0:41 10030 100 17,2.000869371,117.518509519,117.538873048,1838,1838,115.538003677,1
11:0:21 11:0:41 10073 100 17,2.003768932,292.126109036,292.131643022,2683297,2683515,290.12787409,3
11:0:21 11:0:41 10036 100 17,2.001031765,124.010282794,124.027224339,2078,2083,122.026192574,1
11:0:21 11:0:41 10038 100 17,2.001082163,107.442854811,107.462756746,1657,1657,105.461674583,1
11:0:21 11:0:41 10014 100 17,2.000393186,122.319163967,122.337223102,1894,1894,120.336829916,1
11:0:21 11:0:41 10000 100 17,2,123.690796916,123.709775452,2084,2084,121.709775452,1
11:0:21 11:0:41 10054 100 17,2.001677949,8.892807835,8.912857168,295,296,6.911179219,2
11:0:21 11:0:41 10074 100 17,2.003815131,255.906672696,255.912101479,1173158,1173321,253.908286348,3
11:0:21 11:0:41 10016 100 17,2.000456184,75.523574708,75.543902834,1515,1516,73.54344665,1
11:0:21 11:0:41 10003 100 17,2.000086197,101.253986672,101.273614001,2817,2818,99.273527804,1
11:0:21 11:0:41 10004 100 17,2.000111196,113.565098222,113.583380159,1627,1629,111.583268963,1
11:0:21 11:0:41 10068 100 17,2.003624336,451.168582105,451.169268504,7367710,7367777,449.165644168,3
11:0:21 11:0:41 10005 100 17,2.000140995,128.180346124,128.196568258,2212,2212,126.196427263,1
11:0:21 11:0:41 10088 100 17,2.004722318,244.768979324,244.777211906,1114423,1114554,242.772489588,3
11:0:21 11:0:41 10039 100 17,2.001107162,128.218853371,128.236542507,2212,2212,126.235435345,1
11:0:21 11:0:41 10015 100 17,2.000431385,124.077995367,124.096338904,2074,2083,122.095907519,1
11:0:21 11:0:41 10006 100 17,2.000166194,121.750018581,121.767468718,1972,1972,119.767302524,1
11:0:21 11:0:41 10041 100 17,2.00117036,106.332593915,106.350458447,1767,1767,104.349288087,1
11:0:21 11:0:41 10011 100 17,2.000291589,123.695980096,123.714496435,2084,2084,121.714204846,1
11:0:21 11:0:41 10056 100 17,2.001753947,266.366671017,266.373884392,1398336,1398500,264.372130445,3
11:0:21 11:0:41 10081 100 17,2.004309324,306.32335487,306.328413857,2289550,2289760,304.324104533,3
11:0:21 11:0:41 10034 100 17,2.000981967,85.426466379,85.447608311,2282,2283,83.446626344,1
11:0:21 11:0:41 10007 100 17,2.000191593,108.153771224,108.173743153,7252,7256,106.17355156,1
11:0:21 11:0:41 10060 100 17,2.002337143,260.194370031,260.199922217,1266982,1267143,258.197585074,3
11:0:21 11:0:41 10049 100 17,2.001424953,8.907109983,8.927197717,295,296,6.925772764,2
11:0:21 11:0:41 10051 100 17,2.001504351,5871.201345811,5871.201401411,4054649,4054651,5869.19989706,2
11:0:21 11:0:41 10008 100 17,2.000216392,100.882878209,100.903419338,4141,4143,98.903202946,1
11:0:21 11:0:41 10035 100 17,2.001006966,121.617660867,121.636731396,1972,1972,119.63572443,1
11:0:21 11:0:41 10002 100 17,2.000063198,97.349981401,97.371894521,1679,1679,95.371831323,1
11:0:21 11:0:41 10010 100 17,2.00026659,128.218827972,128.236517508,2212,2212,126.236250918,1
11:0:21 11:0:41 10031 100 17,2.00089417,123.696005295,123.714521834,2084,2084,121.713627664,1
11:0:21 11:0:41 10082 100 17,2.004347723,101.272998401,101.293077725,87015,87056,99.288730002,3
11:0:21 11:0:41 10075 100 17,2.00384053,258.687596699,258.695186876,2117974,2118198,256.691346346,3
11:0:21 11:0:41 10012 100 17,2.000316588,112.980086907,112.998587034,1385,1387,110.998270446,1
11:0:21 11:0:41 10029 100 17,2.000844572,121.438088901,121.458249431,1951,1951,119.457404859,1
11:0:21 11:0:41 10033 100 17,2.000956768,111.839446409,111.855739945,1681,1681,109.854783177,1
11:0:21 11:0:41 10026 100 17,2.000745574,75.314011847,75.334652785,1079,1080,73.333907211,1
11:0:21 11:0:41 10040 100 17,2.001132561,120.487221215,120.507031949,1108,1111,118.505899388,1
11:0:21 11:0:41 10032 100 17,2.000918969,125.584509321,125.59945047,1051,1053,123.598531501,1
11:0:21 11:0:41 10095 100 17,2.005707712,197.539847372,197.553271129,589743,589854,195.547563417,3
11:0:21 11:0:41 10037 100 17,2.001056964,125.343987175,125.361713911,2086,2086,123.360656947,1
11:0:21 11:0:41 10043 100 17,2.001219958,123.160195646,123.176990188,1351,1352,121.17577023,1
11:0:21 11:0:41 10001 100 17,2.000024999,126.676038305,126.69387284,1245,1246,124.693847841,1
11:0:21 11:0:41 10045 100 17,2.001296157,164.433866447,164.449626797,287184,287249,162.44833064,2
11:0:21 11:0:41 10013 100 17,2.000354987,117.514881736,117.534696866,1113,1113,115.534341879,1
11:0:21 11:0:41 10042 100 17,2.001195159,118.920944913,118.941017235,1845,1845,116.939822076,1
11:0:21 11:0:41 10046 100 17,2.001329156,239.459389046,239.465843827,955410,955548,237.464514671,2
11:0:21 11:0:41 10059 100 17,2.002314744,3488.7943706,3488.794414198,220962172,220962562,3486.792099454,3
11:0:21 11:0:41 10048 100 17,2.001387354,2439.11704236,2439.117119558,100121,100121,2437.115732204,2
11:0:21 11:0:41 10061 100 17,2.002643942,208.077999789,208.09013795,561645,561749,206.087494008,3
11:0:21 11:0:41 10009 100 17,2.000241591,123.748211111,123.766509643,2078,2079,121.766268052,1
11:0:21 11:0:41 10050 100 17,2.001476152,192.84449487,192.858040423,642359,642480,190.856564271,2
11:0:21 11:0:41 10052 100 17,2.001531151,239.574452704,239.582513474,952284,952419,237.580982323,2
11:0:21 11:0:41 10057 100 17,2.001969946,143.294271454,143.311541388,94027,94051,141.309571442,3
11:0:31 11:0:41 10099 100 17,2.004928709,339.446598944,339.451967323,6736578,6736897,337.447038614,3
11:0:31 11:0:41 10095 100 17,2.004526913,365.250416215,365.254318797,7208883,7209194,363.249791884,3
11:0:31 11:0:41 10092 100 17,2.004317516,301.575644039,301.580006429,2260348,2260567,299.575688913,3
11:0:31 11:0:41 10090 100 17,2.004253117,309.210766606,309.215462991,4255659,4255942,307.211209874,3
11:0:31 11:0:41 10088 100 17,2.004203319,206.114324077,206.127301442,715223,715360,204.123098123,3
11:0:31 11:0:41 10087 100 17,2.00417832,184.64545577,184.659885319,540468,540584,182.655706999,3
11:0:31 11:0:41 10085 100 17,2.004128122,187.462960447,187.478522802,452242,452319,185.47439468,3
