flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:11 11:0:41 10079 100 17,2.015438941,1232.187272447,1230.218085476,3
11:0:11 11:0:41 10029 100 17,2.003830976,147.88470411,145.881492134,1
11:0:11 11:0:41 10038 100 17,2.005147969,107.088676273,105.083737303,1
11:0:11 11:0:41 10043 100 17,2.005853965,154.52619612,152.522032154,1
11:0:11 11:0:41 10030 100 17,2.003954975,153.108058196,151.104561208,1
11:0:11 11:0:41 10031 100 17,2.004146975,135.991697226,133.989049252,1
11:0:11 11:0:41 10032 100 17,2.004336975,153.905232999,151.902656023,1
11:0:11 11:0:41 10033 100 17,2.004463974,148.873703612,146.870007637,1
11:0:11 11:0:41 10052 100 17,2.007648958,182.148727601,180.142018637,2
11:0:11 11:0:41 10081 100 17,2.01575094,2098.214931337,2096.224870389,3
11:0:11 11:0:41 10019 100 17,2.002578986,145.882231422,143.880051433,1
11:0:11 11:0:41 10035 100 17,2.004767972,150.382175265,148.379055292,1
11:0:11 11:0:41 10037 100 17,2.00502197,147.133940401,145.12968043,1
11:0:11 11:0:41 10080 100 17,2.01563494,1275.040009034,1273.072388065,3
11:0:11 11:0:41 10040 100 17,2.005453967,153.982058912,151.976921943,1
11:0:11 11:0:41 10058 100 17,2.010143954,631.215865924,629.318555917,3
11:0:11 11:0:41 10041 100 17,2.005578967,153.921292979,151.917328001,1
11:0:11 11:0:41 10083 100 17,2.016002938,849.351002578,847.423887598,3
11:0:11 11:0:41 10042 100 17,2.005727966,155.997391865,153.991987899,1
11:0:11 11:0:41 10007 100 17,2.000999994,130.968739114,128.968014115,1
11:0:11 11:0:41 10045 100 17,2.006105963,295.341522005,293.336998041,2
11:0:11 11:0:41 10047 100 17,2.006364961,282.048775124,280.044317163,2
11:0:11 11:0:41 10094 100 17,2.018933933,4215.601121494,4213.587722554,3
11:0:11 11:0:41 10062 100 17,2.01061895,3345.154328253,3343.147036301,3
11:0:11 11:0:41 10011 100 17,2.00156599,160.733197768,158.732395771,1
11:0:11 11:0:41 10050 100 17,2.007157959,291.933065155,289.927559194,2
11:0:11 11:0:41 10051 100 17,2.007472959,182.728442847,180.722779886,2
11:0:11 11:0:41 10054 100 17,2.008155956,306.577511496,304.722194454,2
11:0:11 11:0:41 10056 100 17,2.009891955,736.369376552,734.463649551,3
11:0:11 11:0:41 10055 100 17,2.008355955,572.332865997,570.444806984,3
11:0:21 11:0:41 10097 100 17,2.028854927,448.96413754,447.058113566,3
11:0:21 11:0:41 10094 100 17,2.027313929,2142.737794944,2140.731656004,3
11:0:21 11:0:41 10093 100 17,2.02710493,1520.845559472,1518.857366524,3
11:0:21 11:0:41 10091 100 17,2.025468931,321.122040329,319.238916325,3
11:0:21 11:0:41 10090 100 17,2.025280932,4284.877471089,4282.855784595,3
11:0:21 11:0:41 10087 100 17,2.023485934,1058.4164266,1056.456451635,3
11:0:21 11:0:41 10086 100 17,2.023359935,875.942892206,874.006803236,3
11:0:21 11:0:41 10089 100 17,2.025146932,829.745432595,827.817276623,3
11:0:21 11:0:41 10084 100 17,2.023080937,1469.871826634,1467.893069674,3
11:0:21 11:0:41 10096 100 17,2.028662927,1330.168295853,1328.181216902,3
11:0:21 11:0:41 10083 100 17,2.021842938,2143.064512721,2141.063027771,3
11:0:21 11:0:41 10079 100 17,2.019889941,872.214769054,870.286317069,3
11:0:21 11:0:41 10077 100 17,2.019554943,2785.321127167,2783.316661216,3
11:0:21 11:0:41 10076 100 17,2.019442944,1778.146264203,1776.158941241,3
11:0:21 11:0:41 10099 100 17,2.029214925,1130.567035805,1128.594263851,3
11:0:21 11:0:41 10072 100 17,2.018718948,792.059163924,790.143599932,3
11:0:21 11:0:41 10071 100 17,2.018606949,6176.833685054,6174.815300103,3
11:0:21 11:0:41 10092 100 17,2.026980931,668.221926766,666.307911782,3
11:0:21 11:0:41 10069 100 17,2.01836195,1456.388740022,1454.41352205,3
11:0:21 11:0:41 10066 100 17,2.016461953,241.266684978,239.426844875,3
11:0:21 11:0:41 10065 100 17,2.015235953,350.383446737,348.511230694,3
11:0:21 11:0:41 10063 100 17,2.014877955,305.034599353,303.173714308,3
11:0:21 11:0:41 10062 100 17,2.014752955,434.586865356,432.695566347,3
11:0:21 11:0:41 10028 100 17,2.004030979,139.887299637,137.884597658,1
11:0:21 11:0:41 10027 100 17,2.003840979,125.290337883,123.287317906,1
11:0:21 11:0:41 10025 100 17,2.003592981,104.166068043,102.163776063,1
11:0:21 11:0:41 10098 100 17,2.028981926,933.462324027,931.513311066,3
11:0:21 11:0:41 10070 100 17,2.01849595,2097.220469895,2095.225863934,3
11:0:21 11:0:41 10022 100 17,2.003088984,137.025372771,135.023677787,1
11:0:21 11:0:41 10021 100 17,2.002897985,128.711787911,126.710470927,1
11:0:21 11:0:41 10053 100 17,2.007863961,164.755110818,162.74926685,2
11:0:21 11:0:41 10020 100 17,2.002770986,142.619736429,140.617218443,1
11:0:21 11:0:41 10067 100 17,2.016587952,1209.730158125,1207.765718147,3
11:0:21 11:0:41 10047 100 17,2.006826965,270.951193565,268.945979599,2
11:0:21 11:0:41 10019 100 17,2.002646987,138.308913927,136.307942938,1
11:0:21 11:0:41 10044 100 17,2.006289967,131.480405532,129.475314565,1
11:0:21 11:0:41 10080 100 17,2.02142494,724.290691292,722.378901306,3
11:0:21 11:0:41 10024 100 17,2.003468982,114.141916089,112.139968107,1
11:0:21 11:0:41 10055 100 17,2.008645959,952.675791109,950.740992112,3
11:0:21 11:0:41 10018 100 17,2.002522988,136.374243726,134.373396738,1
11:0:21 11:0:41 10023 100 17,2.003279983,132.411923458,130.410396475,1
11:0:21 11:0:41 10085 100 17,2.023228936,1194.079814001,1192.110912038,3
11:0:21 11:0:41 10058 100 17,2.011385958,2630.489212163,2628.491782194,3
11:0:21 11:0:41 10064 100 17,2.015004954,1226.185325908,1224.217890927,3
11:0:21 11:0:41 10017 100 17,2.002395989,120.169788641,118.168004654,1
11:0:21 11:0:41 10078 100 17,2.019658942,1046.173793855,1044.220471881,3
11:0:21 11:0:41 10030 100 17,2.004346978,135.271239322,133.268090346,1
11:0:21 11:0:41 10073 100 17,2.018844947,1423.329578997,1421.357374029,3
11:0:21 11:0:41 10036 100 17,2.005158973,134.191917999,132.187075024,1
11:0:21 11:0:41 10038 100 17,2.005410971,107.346167979,105.342368007,1
11:0:21 11:0:41 10014 100 17,2.001965992,128.834810761,126.833251767,1
11:0:21 11:0:41 10000 100 17,2,134.214218952,132.215757952,1
11:0:21 11:0:41 10054 100 17,2.00838996,128.61938306,126.612926099,2
11:0:21 11:0:41 10074 100 17,2.019075946,1098.23526461,1096.279526636,3
11:0:21 11:0:41 10016 100 17,2.00228099,75.33235413,73.33158314,1
11:0:21 11:0:41 10003 100 17,2.000430998,106.452219936,104.453298937,1
11:0:21 11:0:41 10004 100 17,2.000555998,125.70321436,123.704031363,1
11:0:21 11:0:41 10068 100 17,2.018121951,1698.861378363,1696.874762395,3
11:0:21 11:0:41 10005 100 17,2.000704997,138.210204075,136.210490077,1
11:0:21 11:0:41 10088 100 17,2.023611933,1040.098700033,1038.142363069,3
11:0:21 11:0:41 10039 100 17,2.005535971,138.240968011,136.236862038,1
11:0:21 11:0:41 10015 100 17,2.002156991,134.273979839,132.272611848,1
11:0:21 11:0:41 10006 100 17,2.000830996,138.848934127,136.848398133,1
