flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:11 11:0:41 10029 100 17,2.000766171,118.196674243,116.215512001,1
11:0:11 11:0:41 10038 100 17,2.001029563,97.98053352,95.999499484,1
11:0:11 11:0:41 10043 100 17,2.001170758,128.17863273,126.193669907,1
11:0:11 11:0:41 10030 100 17,2.00079097,126.866037813,124.885035777,1
11:0:11 11:0:41 10031 100 17,2.000829369,107.660797823,105.680616183,1
11:0:11 11:0:41 10032 100 17,2.000867369,125.489789073,123.507695239,1
11:0:11 11:0:41 10033 100 17,2.000892768,122.970032112,120.987621876,1
11:0:11 11:0:41 10052 100 17,2.001529749,126.746740248,124.763807435,2
11:0:11 11:0:41 10081 100 17,2.003150124,393.5622428,391.561028271,3
11:0:11 11:0:41 10019 100 17,2.000515781,117.501171586,115.52041953,1
11:0:11 11:0:41 10035 100 17,2.000953566,124.00440041,122.020936592,1
11:0:11 11:0:41 10037 100 17,2.001004364,118.90403197,116.92390153,1
11:0:11 11:0:41 10080 100 17,2.003126925,369.898570397,367.899693658,3
11:0:11 11:0:41 10040 100 17,2.001090761,125.342154178,123.358926555,1
11:0:11 11:0:41 10058 100 17,2.002028743,176.319859195,174.334970997,3
11:0:11 11:0:41 10041 100 17,2.00111576,127.297247664,125.316540631,1
11:0:11 11:0:41 10083 100 17,2.003200522,204.286481231,202.295105873,3
11:0:11 11:0:41 10042 100 17,2.001145559,127.52723063,125.545574004,1
11:0:11 11:0:41 10007 100 17,2.000199993,104.407042111,102.425101253,1
11:0:11 11:0:41 10045 100 17,2.001221156,171.192074193,169.207404385,2
11:0:11 11:0:41 10047 100 17,2.001272954,162.867806965,160.883192949,2
11:0:11 11:0:41 10094 100 17,2.003786713,4046.422433865,4044.418702752,3
11:0:11 11:0:41 10062 100 17,2.002123739,571.699813946,569.697731005,3
11:0:11 11:0:41 10011 100 17,2.000313189,128.561388349,126.580060291,1
11:0:11 11:0:41 10050 100 17,2.001431551,173.050740458,171.062849063,2
11:0:11 11:0:41 10051 100 17,2.00149455,139.946610227,137.961440221,2
11:0:11 11:0:41 10054 100 17,2.001631147,227.718200218,225.724895043,2
11:0:11 11:0:41 10056 100 17,2.001978345,172.507842689,170.521277085,3
11:0:11 11:0:41 10055 100 17,2.001671146,176.279155509,174.295428117,3
11:0:21 11:0:41 10097 100 17,2.00577091,132.645735084,130.659636713,3
11:0:21 11:0:41 10094 100 17,2.005462713,434.199028899,432.196770179,3
11:0:21 11:0:41 10093 100 17,2.005420914,295.097787471,293.097813345,3
11:0:21 11:0:41 10091 100 17,2.005093716,115.876605907,113.889463127,3
11:0:21 11:0:41 10090 100 17,2.005056117,1143.730477943,1141.725499024,3
11:0:21 11:0:41 10087 100 17,2.004697119,245.242979279,243.245717139,3
11:0:21 11:0:41 10086 100 17,2.00467192,202.355746626,200.362397071,3
11:0:21 11:0:41 10089 100 17,2.005029317,133.678626773,131.694109185,3
11:0:21 11:0:41 10084 100 17,2.004616122,461.844149363,459.841745237,3
11:0:21 11:0:41 10096 100 17,2.005732511,461.112722653,459.109087137,3
11:0:21 11:0:41 10083 100 17,2.004368522,429.916285589,427.914682257,3
11:0:21 11:0:41 10079 100 17,2.003977926,217.822422101,215.828901744,3
11:0:21 11:0:41 10077 100 17,2.003910928,455.225226286,453.222983549,3
11:0:21 11:0:41 10076 100 17,2.003888529,522.327729047,520.323934977,3
