flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:11 11:0:41 10079 100 17,2.015438941,1252.118973113,1250.148501141,3
11:0:11 11:0:41 10029 100 17,2.003830976,120.601654152,118.755925089,1
11:0:11 11:0:41 10038 100 17,2.005147969,102.174914329,100.329189278,1
11:0:11 11:0:41 10043 100 17,2.005853965,128.330086942,126.476765883,1
11:0:11 11:0:41 10030 100 17,2.003954975,127.603747297,125.764994246,1
11:0:11 11:0:41 10031 100 17,2.004146975,108.024038101,106.175292043,1
11:0:11 11:0:41 10032 100 17,2.004336975,125.673149317,123.832094263,1
11:0:11 11:0:41 10033 100 17,2.004463974,123.188816664,121.347177608,1
11:0:11 11:0:41 10052 100 17,2.007648958,340.990097447,339.123224411,2
11:0:11 11:0:41 10081 100 17,2.01575094,2085.894144714,2083.899550762,3
11:0:11 11:0:41 10019 100 17,2.002578986,117.644107789,115.801849716,1
11:0:11 11:0:41 10035 100 17,2.004767972,124.132867133,122.28906908,1
11:0:11 11:0:41 10037 100 17,2.00502197,119.03148702,117.188399973,1
11:0:11 11:0:41 10080 100 17,2.01563494,1268.18409538,1266.21544741,3
11:0:11 11:0:41 10040 100 17,2.005453967,125.418095463,123.575833416,1
11:0:11 11:0:41 10058 100 17,2.010143954,598.075975056,596.180952043,3
11:0:11 11:0:41 10041 100 17,2.005578967,130.055337035,128.213096971,1
11:0:11 11:0:41 10083 100 17,2.016002938,821.733293496,819.808735507,3
11:0:11 11:0:41 10042 100 17,2.005727966,127.721634245,125.877099197,1
11:0:11 11:0:41 10007 100 17,2.000999994,105.533230511,103.690847433,1
11:0:11 11:0:41 10045 100 17,2.006105963,614.357146526,612.467762504,2
11:0:11 11:0:41 10047 100 17,2.006364961,496.545735312,494.646254282,2
11:0:11 11:0:41 10094 100 17,2.018933933,4219.048751422,4217.037501486,3
11:0:11 11:0:41 10062 100 17,2.01061895,3297.033522204,3295.026777251,3
11:0:11 11:0:41 10011 100 17,2.00156599,128.81644468,126.975317608,1
11:0:11 11:0:41 10050 100 17,2.007157959,542.580453609,540.691062589,2
11:0:11 11:0:41 10051 100 17,2.007472959,143.541188738,141.687189699,2
11:0:11 11:0:41 10054 100 17,2.008155956,883.092568963,881.166514965,2
11:0:11 11:0:41 10056 100 17,2.009891955,704.334990822,702.433459808,3
11:0:11 11:0:41 10055 100 17,2.008355955,534.20042903,532.313696013,3
11:0:21 11:0:41 10097 100 17,2.028854927,422.898869864,420.997927868,3
11:0:21 11:0:41 10094 100 17,2.027313929,2132.882878871,2130.875128931,3
11:0:21 11:0:41 10093 100 17,2.02710493,1497.223934346,1495.238107392,3
11:0:21 11:0:41 10091 100 17,2.025468931,297.954370071,296.065008071,3
11:0:21 11:0:41 10090 100 17,2.025280932,4273.793795553,4271.771740619,3
11:0:21 11:0:41 10087 100 17,2.023485934,1029.854319401,1027.889615433,3
11:0:21 11:0:41 10086 100 17,2.023359935,849.3729924,847.440189415,3
11:0:21 11:0:41 10089 100 17,2.025146932,820.182278446,818.247675465,3
11:0:21 11:0:41 10084 100 17,2.023080937,1661.282504706,1659.295429749,3
11:0:21 11:0:41 10096 100 17,2.028662927,1660.952381911,1658.961236963,3
11:0:21 11:0:41 10083 100 17,2.021842938,2133.310849593,2131.305191641,3
11:0:21 11:0:41 10079 100 17,2.019889941,840.748501235,838.819926249,3
11:0:21 11:0:41 10077 100 17,2.019554943,2766.126740418,2764.119685468,3
11:0:21 11:0:41 10076 100 17,2.019442944,2091.943536927,2089.944016975,3
11:0:21 11:0:41 10099 100 17,2.029214925,1103.633874739,1101.663900784,3
11:0:21 11:0:41 10072 100 17,2.018718948,758.196414345,756.287590337,3
11:0:21 11:0:41 10071 100 17,2.018606949,6273.287614346,6271.269229395,3
11:0:21 11:0:41 10092 100 17,2.026980931,636.318223269,634.402179287,3
11:0:21 11:0:41 10069 100 17,2.01836195,1444.684600928,1442.711921954,3
11:0:21 11:0:41 10066 100 17,2.016461953,223.141236779,221.286138755,3
11:0:21 11:0:41 10065 100 17,2.015235953,320.154969982,318.279501942,3
11:0:21 11:0:41 10063 100 17,2.014877955,291.06329683,289.204018789,3
11:0:21 11:0:41 10062 100 17,2.014752955,401.313587931,399.428292912,3
11:0:21 11:0:41 10028 100 17,2.004030979,128.903233627,127.055255565,1
11:0:21 11:0:41 10027 100 17,2.003840979,118.811124128,116.957348074,1
11:0:21 11:0:41 10025 100 17,2.003592981,101.420367771,99.579990698,1
11:0:21 11:0:41 10098 100 17,2.028981926,1062.204152397,1060.238861437,3
11:0:21 11:0:41 10070 100 17,2.01849595,2086.712912191,2084.714214229,3
11:0:21 11:0:41 10022 100 17,2.003088984,121.246224808,119.393354736,1
11:0:21 11:0:41 10021 100 17,2.002897985,117.613509804,115.767528734,1
11:0:21 11:0:41 10053 100 17,2.007863961,392.569208661,390.691990628,2
11:0:21 11:0:41 10020 100 17,2.002770986,125.490908424,123.652238342,1
11:0:21 11:0:41 10067 100 17,2.016587952,1181.93736489,1179.97465491,3
11:0:21 11:0:41 10047 100 17,2.006826965,825.044607474,823.121451461,2
11:0:21 11:0:41 10019 100 17,2.002646987,128.346640932,126.495499851,1
11:0:21 11:0:41 10044 100 17,2.006289967,125.050666644,123.211853602,1
11:0:21 11:0:41 10080 100 17,2.02142494,704.817486574,702.907811578,3
11:0:21 11:0:41 10024 100 17,2.003468982,94.409887672,92.563026596,1
11:0:21 11:0:41 10055 100 17,2.008645959,924.830116708,922.896833705,3
11:0:21 11:0:41 10018 100 17,2.002522988,118.884896095,117.03314703,1
11:0:21 11:0:41 10023 100 17,2.003279983,127.050953595,125.206995531,1
11:0:21 11:0:41 10085 100 17,2.023228936,1165.483952533,1163.516149567,3
11:0:21 11:0:41 10058 100 17,2.011385958,2623.688382181,2621.690551216,3
11:0:21 11:0:41 10064 100 17,2.015004954,1206.946602924,1204.98009594,3
11:0:21 11:0:41 10017 100 17,2.002395989,119.927444531,118.078898455,1
11:0:21 11:0:41 10078 100 17,2.019658942,1025.926903525,1023.973031553,3
