flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:
11:0:11 11:0:41 10046 100 17,2.001248755,128.253688224,128.253973224,237560,237562,126.252724469,2
11:0:11 11:0:41 10001 100 17,2.000025399,127.610370208,127.628423338,5674,5674,125.628397939,1
11:0:11 11:0:41 10004 100 17,2.000111396,125.156252208,125.156571209,1692,1692,123.156459813,1
11:0:11 11:0:41 10002 100 17,2.000050598,117.561299029,117.561530629,1059,1059,115.561480031,1
11:0:11 11:0:41 10095 100 17,2.003813513,136.128204568,136.144850115,60177,60215,134.141036602,3
11:0:11 11:0:41 10044 100 17,2.001195957,127.39815378,127.398498779,2211,2211,125.397302822,1
11:0:11 11:0:41 10057 100 17,2.002003344,199.057303853,199.073024005,579035,579143,197.071020661,3
11:0:11 11:0:41 10071 100 17,2.002503531,144.058994713,144.078283839,146512,146568,142.075780308,3
11:0:11 11:0:41 10006 100 17,2.000174594,128.202337814,128.202443414,1933,1933,126.20226882,1
11:0:11 11:0:41 10009 100 17,2.000262991,102.745159894,102.745445696,2945,2945,100.745182705,1
11:0:11 11:0:41 10028 100 17,2.000741372,125.668195799,125.668486,2080,2080,123.667744628,1
11:0:11 11:0:41 10018 100 17,2.000490782,118.921959556,118.922209157,1844,1844,116.921718375,1
11:0:11 11:0:41 10021 100 17,2.000565979,121.455533135,121.455838536,1954,1954,119.455272557,1
11:0:11 11:0:41 10010 100 17,2.00028839,121.429072044,121.429245642,1951,1951,119.428957252,1
11:0:11 11:0:41 10000 100 17,2,118.354261284,118.354567084,1835,1835,116.354567084,1
11:0:11 11:0:41 10039 100 17,2.001052562,117.579795963,117.580136363,1171,1171,115.579083801,1
11:0:11 11:0:41 10005 100 17,2.000149595,124.984004043,124.984083642,2089,2089,122.983934047,1
11:0:11 11:0:41 10079 100 17,2.003087726,237.311430494,237.320454464,1743808,1744028,235.317366738,3
11:0:11 11:0:41 10029 100 17,2.000766171,117.923753076,117.923978677,2936,2936,115.923212506,1
11:0:11 11:0:41 10038 100 17,2.001029563,97.545688482,97.546022479,2333,2333,95.544992916,1
11:0:11 11:0:41 10043 100 17,2.001170758,128.181527286,128.181833886,2052,2052,126.180663128,1
11:0:11 11:0:41 10030 100 17,2.00079097,126.814005104,126.814159506,1775,1775,124.813368536,1
11:0:11 11:0:41 10031 100 17,2.000829369,107.610443278,107.610680879,985,985,105.60985151,1
11:0:11 11:0:41 10032 100 17,2.000867369,125.498436388,125.498616788,2089,2089,123.497749419,1
11:0:11 11:0:41 10033 100 17,2.000892768,122.95707749,122.957356291,1461,1461,120.956463523,1
11:0:11 11:0:41 10052 100 17,2.001529749,127.171124212,127.171413013,145543,145544,125.169883264,2
11:0:11 11:0:41 10081 100 17,2.003150124,397.802889118,397.804946912,9014541,9014862,395.801796788,3
11:0:11 11:0:41 10019 100 17,2.000515781,117.513712605,117.513955805,1838,1838,115.513440024,1
11:0:11 11:0:41 10035 100 17,2.000953566,124.023174572,124.023500972,2079,2079,122.022547406,1
11:0:11 11:0:41 10037 100 17,2.001004364,118.921984355,118.922234356,1844,1844,116.921229992,1
11:0:11 11:0:41 10080 100 17,2.003126925,362.752661903,362.757047686,2209172,2209302,360.753920761,3
11:0:11 11:0:41 10040 100 17,2.001090761,125.34431113,125.344441525,2086,2086,123.343350764,1
11:0:11 11:0:41 10058 100 17,2.002028743,182.614547445,182.628916794,295964,296050,180.626888051,3
11:0:11 11:0:41 10041 100 17,2.00111576,126.996295253,126.996647452,3778,3778,124.995531692,1
11:0:11 11:0:41 10083 100 17,2.003200522,209.563291141,209.573254715,670918,671053,207.570054193,3
11:0:11 11:0:41 10042 100 17,2.001145559,127.544058456,127.544340456,2214,2215,125.543194897,1
11:0:11 11:0:41 10007 100 17,2.000199993,104.294647629,104.294950429,1356,1356,102.294750436,1
11:0:11 11:0:41 10045 100 17,2.001221156,140.654034746,140.654354346,285814,285818,138.65313319,2
11:0:11 11:0:41 10047 100 17,2.001272954,146.853807945,146.854164544,252192,252193,144.85289159,2
11:0:11 11:0:41 10094 100 17,2.003786713,4044.908417729,4044.908473329,32486878,32486878,4042.904686616,3
11:0:11 11:0:41 10062 100 17,2.002123739,577.201926638,577.202198237,46970841,46971344,575.200074498,3
11:0:11 11:0:41 10011 100 17,2.000313189,128.559909506,128.560137706,2196,2196,126.559824517,1
11:0:11 11:0:41 10050 100 17,2.001431551,154.052231716,154.052469117,301283,301285,152.051037566,2
11:0:11 11:0:41 10051 100 17,2.00149455,139.94073199,139.94080999,32148,32148,137.93931544,2
11:0:11 11:0:41 10054 100 17,2.001631147,139.847368104,139.847801904,512361,512363,137.846170757,2
11:0:11 11:0:41 10056 100 17,2.001978345,176.196154492,176.209422446,479388,479474,174.207444101,3
11:0:11 11:0:41 10055 100 17,2.001671146,181.001458301,181.018969252,290192,290269,179.017298106,3
11:0:21 11:0:41 10097 100 17,2.00577091,136.08491293,136.102690069,202035,202090,134.096919159,3
11:0:21 11:0:41 10094 100 17,2.005462713,438.173971495,438.175262092,10491443,10491772,436.169799379,3
11:0:21 11:0:41 10093 100 17,2.005420914,300.260549759,300.264702351,3206081,3206323,298.259281437,3
11:0:21 11:0:41 10091 100 17,2.005093716,116.807428604,116.825202739,104861,104895,114.820109023,3
11:0:21 11:0:41 10090 100 17,2.005056117,1148.319156792,1148.319483783,184600256,184600745,1146.314427666,3
11:0:21 11:0:41 10087 100 17,2.004697119,250.073461663,250.079636444,1188869,1189009,248.074939325,3
11:0:21 11:0:41 10086 100 17,2.00467192,207.477433794,207.489331359,743306,743439,205.484659439,3
11:0:21 11:0:41 10089 100 17,2.005029317,135.634540656,135.654676801,442743,442872,133.649647484,3
11:0:21 11:0:41 10084 100 17,2.004616122,466.978616432,466.981338824,5418784,5419018,464.976722702,3
11:0:21 11:0:41 10096 100 17,2.005732511,463.021841647,463.022775155,5330099,5330316,461.017042644,3
11:0:21 11:0:41 10083 100 17,2.004368522,434.603583828,434.605365021,10440053,10440385,432.600996499,3
11:0:21 11:0:41 10079 100 17,2.003977926,222.851115392,222.861632563,718853,718976,220.857654637,3
11:0:21 11:0:41 10077 100 17,2.003910928,458.965790957,458.966920355,25912655,25913073,456.963009427,3
11:0:21 11:0:41 10076 100 17,2.003888529,520.907311536,520.907595885,13064726,13064825,518.903707356,3
11:0:21 11:0:41 10099 100 17,2.005842908,265.506898135,265.512792117,1369611,1369764,263.506949209,3
11:0:21 11:0:41 10072 100 17,2.003743733,199.980465532,199.995911489,552732,552833,197.992167756,3
11:0:21 11:0:41 10071 100 17,2.003721334,3132.670237483,3132.670283481,211749246,211749593,3130.666562147,3
11:0:21 11:0:41 10092 100 17,2.005396115,156.22551042,156.241964768,372251,372343,154.236568653,3
11:0:21 11:0:41 10069 100 17,2.003672335,271.192031296,271.198746475,2668017,2668273,269.19507414,3
11:0:21 11:0:41 10066 100 17,2.003292338,105.619879671,105.643266592,70134,70159,103.639974254,3
11:0:21 11:0:41 10065 100 17,2.003047139,148.534442803,148.553408142,125875,125918,146.550361003,3
11:0:21 11:0:41 10063 100 17,2.002975541,138.523736123,138.54067527,92352,92384,136.537699729,3
11:0:21 11:0:41 10062 100 17,2.002950542,160.35096463,160.369291373,179312,179373,158.366340831,3
11:0:21 11:0:41 10028 100 17,2.000806173,128.649721799,128.649906799,2204,2204,126.649100626,1
11:0:21 11:0:41 10027 100 17,2.000768173,118.69528283,118.695398228,1335,1335,116.694630055,1
11:0:21 11:0:41 10025 100 17,2.000718575,94.768128195,94.768341797,3968,3968,92.767623222,1
11:0:21 11:0:41 10098 100 17,2.005796309,847.203763711,847.203848909,1612875,1612901,845.1980526,3
11:0:21 11:0:41 10070 100 17,2.003699135,525.504161347,525.505015175,13093039,13093171,523.50131604,3
11:0:21 11:0:41 10022 100 17,2.000617778,120.088942551,120.089130953,2898,2899,118.088513175,1
11:0:21 11:0:41 10021 100 17,2.000579579,117.518419587,117.518523187,1159,1159,115.517943608,1
11:0:21 11:0:41 10053 100 17,2.00157275,127.915086047,127.915345845,174595,174597,125.913773095,2
11:0:21 11:0:41 10020 100 17,2.00055418,125.371708828,125.371787427,2086,2086,123.371233247,1
11:0:21 11:0:41 10067 100 17,2.003317537,279.840266163,279.845723143,1612396,1612586,277.842405606,3
11:0:21 11:0:41 10047 100 17,2.001365355,144.370713213,144.371004612,498657,498659,142.369639257,2
11:0:21 11:0:41 10019 100 17,2.000529381,128.252506232,128.252578832,2212,2212,126.252049451,1
11:0:21 11:0:41 10044 100 17,2.001257958,124.797824737,124.798099338,1428,1428,122.79684138,1
11:0:21 11:0:41 10080 100 17,2.004284925,181.215684473,181.232960227,511905,512008,179.228675302,3
11:0:21 11:0:41 10024 100 17,2.000693776,91.880608969,91.880906969,1955,1955,89.880213193,1
11:0:21 11:0:41 10055 100 17,2.001729148,225.470714424,225.479197395,886059,886195,223.477468247,3
11:0:21 11:0:41 10018 100 17,2.000504582,118.731497087,118.731754087,1836,1836,116.731249505,1
11:0:21 11:0:41 10023 100 17,2.000655977,125.819895068,125.820165069,2995,2995,123.819509092,1
11:0:21 11:0:41 10085 100 17,2.004645721,277.271411539,277.279771917,1520824,1521009,275.275126196,3
11:0:21 11:0:41 10058 100 17,2.002277145,565.328109154,565.329935951,22109893,22110217,563.327658806,3
11:0:21 11:0:41 10064 100 17,2.00300094,412.250972256,412.25244325,1097030,1097196,410.24944231,3
11:0:21 11:0:41 10017 100 17,2.000479183,116.338291147,116.338547346,2591,2591,114.338068163,1
11:0:21 11:0:41 10078 100 17,2.003931727,211.135234052,211.14646202,946028,946199,209.142530293,3
11:0:21 11:0:41 10030 100 17,2.000869371,117.528516141,117.52857654,1838,1838,115.527707169,1
11:0:21 11:0:41 10073 100 17,2.003768932,296.474253152,296.479248337,2768246,2768464,294.475479405,3
11:0:21 11:0:41 10036 100 17,2.001031765,124.008170033,124.008428433,2078,2078,122.007396668,1
11:0:21 11:0:41 10038 100 17,2.001082163,107.281935922,107.282207723,1657,1657,105.28112556,1
11:0:21 11:0:41 10014 100 17,2.000393186,122.314850889,122.314946489,1894,1894,120.314553303,1
11:0:21 11:0:41 10000 100 17,2,123.688733257,123.689035057,2084,2084,121.689035057,1
11:0:21 11:0:41 10054 100 17,2.001677949,9.09809954,9.098546539,300,301,7.09686859,2
11:0:21 11:0:41 10074 100 17,2.003815131,261.505948136,261.510840119,1232447,1232608,259.507024988,3
11:0:21 11:0:41 10016 100 17,2.000456184,75.243512673,75.243735874,1510,1510,73.24327969,1
11:0:21 11:0:41 10003 100 17,2.000086197,101.044315417,101.044498617,2814,2814,99.04441242,1
11:0:21 11:0:41 10004 100 17,2.000111196,113.551003368,113.551171368,1627,1627,111.551060172,1
11:0:21 11:0:41 10068 100 17,2.003624336,455.827365219,455.829139815,7458266,7458350,453.825515479,3
11:0:21 11:0:41 10005 100 17,2.000140995,128.189121654,128.189396456,2212,2212,126.189255461,1
11:0:21 11:0:41 10088 100 17,2.004722318,249.300071815,249.307381593,1158888,1159024,247.302659275,3
11:0:21 11:0:41 10039 100 17,2.001107162,128.238629081,128.238870881,2212,2212,126.237763719,1
11:0:21 11:0:41 10015 100 17,2.000431385,124.090553718,124.090877717,2077,2078,122.090446332,1
11:0:21 11:0:41 10006 100 17,2.000166194,121.777281748,121.777621745,1972,1972,119.777455551,1
11:0:21 11:0:41 10041 100 17,2.00117036,106.195258745,106.195318746,1761,1761,104.194148386,1
11:0:21 11:0:41 10011 100 17,2.000291589,123.722772923,123.723078923,2084,2084,121.722787334,1
11:0:21 11:0:41 10056 100 17,2.001753947,272.299655718,272.305621705,1471138,1471309,270.303867758,3
11:0:21 11:0:41 10081 100 17,2.004309324,312.005275001,312.009528386,2363434,2363640,310.005219062,3
11:0:21 11:0:41 10034 100 17,2.000981967,85.105488206,85.105769807,2273,2273,83.10478784,1
11:0:21 11:0:41 10007 100 17,2.000191593,107.32405755,107.345965669,7213,7213,105.345774076,1
11:0:21 11:0:41 10060 100 17,2.002337143,266.288385883,266.295730665,1334633,1334808,264.293393522,3
11:0:21 11:0:41 10049 100 17,2.001424953,9.126249249,9.12678505,300,301,7.125360097,2
11:0:21 11:0:41 10051 100 17,2.001504351,5871.213231815,5871.213287415,4054666,4054666,5869.211783064,2
11:0:21 11:0:41 10008 100 17,2.000216392,100.532944711,100.533246712,4134,4134,98.53303032,1
11:0:21 11:0:41 10035 100 17,2.001006966,121.631356466,121.631567468,1972,1972,119.630560502,1
11:0:21 11:0:41 10002 100 17,2.000063198,97.226823277,97.227001477,1679,1679,95.226938279,1
11:0:21 11:0:41 10010 100 17,2.00026659,128.238603682,128.238845882,2212,2212,126.238579292,1
11:0:21 11:0:41 10031 100 17,2.00089417,123.70164861,123.70171581,2084,2084,121.70082164,1
11:0:21 11:0:41 10082 100 17,2.004347723,99.566383612,99.584940352,83797,83836,97.580592629,3
11:0:21 11:0:41 10075 100 17,2.00384053,263.157141672,263.162928253,2213326,2213558,261.159087723,3
11:0:21 11:0:41 10012 100 17,2.000316588,112.951351457,112.951669857,1386,1386,110.951353269,1
11:0:21 11:0:41 10029 100 17,2.000844572,121.448106768,121.448221768,1951,1951,119.447377196,1
11:0:21 11:0:41 10033 100 17,2.000956768,111.671894359,111.671941358,1676,1676,109.67098459,1
11:0:21 11:0:41 10026 100 17,2.000745574,75.266741989,75.266810588,1079,1079,73.266065014,1
11:0:21 11:0:41 10040 100 17,2.001132561,120.553055996,120.553302397,1113,1114,118.552169836,1
11:0:21 11:0:41 10032 100 17,2.000918969,125.586918887,125.587107886,1050,1050,123.586188917,1
11:0:21 11:0:41 10095 100 17,2.005707712,202.572543511,202.584754074,618370,618484,200.579046362,3
11:0:21 11:0:41 10037 100 17,2.001056964,125.348412108,125.348679709,2086,2086,123.347622745,1
11:0:21 11:0:41 10043 100 17,2.001219958,123.10422173,123.10450873,1351,1351,121.103288772,1
11:0:21 11:0:41 10001 100 17,2.000024999,126.675360992,126.675479591,1245,1245,124.675454592,1
11:0:21 11:0:41 10045 100 17,2.001296157,128.304279838,128.304433439,224208,224211,126.303137282,2
11:0:21 11:0:41 10013 100 17,2.000354987,117.512136412,117.512238411,1113,1113,115.511883424,1
11:0:21 11:0:41 10042 100 17,2.001195159,118.944587472,118.944717272,1845,1845,116.943522113,1
11:0:21 11:0:41 10046 100 17,2.001329156,148.68742869,148.687676891,575644,575650,146.686347735,2
11:0:21 11:0:41 10059 100 17,2.002314744,3443.84143192,3443.841475518,211455028,211455376,3441.839160774,3
11:0:21 11:0:41 10048 100 17,2.001387354,2439.117753615,2439.117830813,100121,100121,2437.116443459,2
11:0:21 11:0:41 10061 100 17,2.002643942,212.715006206,212.726751774,587536,587640,210.724107832,3
11:0:21 11:0:41 10009 100 17,2.000241591,123.764793365,123.764853364,2079,2079,121.764611773,1
11:0:21 11:0:41 10050 100 17,2.001476152,130.796961835,130.797275435,439023,439026,128.795799283,2
11:0:21 11:0:41 10052 100 17,2.001531151,149.031164594,149.031477594,574892,574896,147.029946443,2
11:0:21 11:0:41 10057 100 17,2.001969946,144.933968119,144.952730658,95614,95635,142.950760712,3
11:0:31 11:0:41 10099 100 17,2.004928709,340.824245195,340.82886518,6701751,6702071,338.823936471,3
11:0:31 11:0:41 10095 100 17,2.004526913,370.006385191,370.010977761,7381277,7381589,368.006450848,3
11:0:31 11:0:41 10092 100 17,2.004317516,304.837446159,304.842296946,2297510,2297705,302.83797943,3
11:0:31 11:0:41 10090 100 17,2.004253117,311.850890133,311.85503412,4292329,4292614,309.850781003,3
11:0:31 11:0:41 10088 100 17,2.004203319,209.865093467,209.878923632,740992,741115,207.874720313,3
11:0:31 11:0:41 10087 100 17,2.00417832,190.819803085,190.835047039,576298,576427,188.830868719,3
11:0:31 11:0:41 10085 100 17,2.004128122,188.100201867,188.115878022,454090,454171,186.1117499,3
11:0:31 11:0:41 10084 100 17,2.003823722,213.293312473,213.305469439,748312,748448,211.301645717,3
11:0:31 11:0:41 10080 100 17,2.003702525,449.54723864,449.549038435,5098374,5098509,447.54533591,3
11:0:31 11:0:41 10079 100 17,2.003676926,307.035113544,307.040882327,4722377,4722671,305.037205401,3
11:0:31 11:0:41 10078 100 17,2.003639327,1835.816343744,1835.816397742,520613857,520614441,1833.812758415,3
11:0:31 11:0:41 10076 100 17,2.003314929,155.309675688,155.325249636,183820,183856,153.321934707,3
11:0:31 11:0:41 10075 100 17,2.00329053,134.780794017,134.799015961,115098,115125,132.795725431,3
11:0:31 11:0:41 10093 100 17,2.004355115,279.384999216,279.391170199,1560216,1560395,277.386815084,3
11:0:31 11:0:41 10074 100 17,2.003155331,226.79554938,226.805451948,699341,699468,224.802296617,3
11:0:31 11:0:41 10073 100 17,2.002848532,595.77456148,595.774894679,19156989,19157240,593.772046147,3
11:0:31 11:0:41 10072 100 17,2.002809333,1624.124114929,1624.124181727,227018283,227018718,1622.121372394,3
11:0:31 11:0:41 10070 100 17,2.002759935,153.069137598,153.085456147,253351,253399,151.082696212,3
11:0:31 11:0:41 10081 100 17,2.003740924,462.619973565,462.622311158,5363258,5363483,460.618570234,3
11:0:31 11:0:41 10069 100 17,2.002733135,197.353299046,197.367172002,1028520,1028707,195.364438867,3
11:0:31 11:0:41 10068 100 17,2.002607136,237.59872099,237.606041168,823856,823981,235.603434032,3
11:0:31 11:0:41 10066 100 17,2.002291537,145.922780709,145.93913665,103741,103771,143.936845113,3
11:0:31 11:0:41 10071 100 17,2.002785134,136.63868601,136.658495338,158057,158123,134.655710204,3
11:0:31 11:0:41 10065 100 17,2.002261938,721.263996767,721.264056767,43128334,43128671,719.261794829,3
11:0:31 11:0:41 10064 100 17,2.002237338,148.391686687,148.413129821,98008,98046,146.410892483,3
11:0:31 11:0:41 10063 100 17,2.002212539,198.575886516,198.59144847,437001,437086,196.589235931,3
