flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:11 11:0:41 10099 100 17,2.003912909,234.567727556,232.570805625,3
11:0:11 11:0:41 10097 100 17,2.003862711,146.710877072,144.724041304,3
11:0:11 11:0:41 10096 100 17,2.003838312,350.284524087,348.283430763,3
11:0:11 11:0:41 10093 100 17,2.003761714,146.368412422,144.381780854,3
11:0:11 11:0:41 10092 100 17,2.003736915,130.411436097,128.426430711,3
11:0:11 11:0:41 10090 100 17,2.003685717,215.097678617,213.10367188,3
11:0:11 11:0:41 10098 100 17,2.00388751,189.571853196,187.583301043,3
11:0:11 11:0:41 10088 100 17,2.003620518,571.253067919,569.249995316,3
11:0:11 11:0:41 10087 100 17,2.003318119,397.59610688,395.595780152,3
11:0:11 11:0:41 10086 100 17,2.003291319,338.042554161,336.044021425,3
11:0:11 11:0:41 10085 100 17,2.00326652,216.954189604,214.961155256,3
11:0:11 11:0:41 10084 100 17,2.003225721,1893.507173144,1891.504015821,3
11:0:11 11:0:41 10078 100 17,2.003062727,126.409657324,124.424236936,3
11:0:11 11:0:41 10077 100 17,2.003035927,358.489023174,356.487878039,3
11:0:11 11:0:41 10076 100 17,2.003011327,125.28927428,123.306285493,3
11:0:11 11:0:41 10075 100 17,2.002704128,200.206744226,198.21513107,3
11:0:11 11:0:41 10074 100 17,2.002678729,207.374453704,205.385522737,3
11:0:11 11:0:41 10072 100 17,2.00252853,156.692920044,154.707643264,3
11:0:11 11:0:41 10070 100 17,2.002476731,446.882933976,444.882491439,3
11:0:11 11:0:41 10069 100 17,2.002439132,740.465686461,738.463307329,3
11:0:11 11:0:41 10068 100 17,2.002414333,197.187947407,195.197007241,3
11:0:11 11:0:41 10067 100 17,2.002388934,250.037738088,248.042825131,3
11:0:11 11:0:41 10091 100 17,2.003711916,212.85920334,210.867498393,3
11:0:11 11:0:41 10066 100 17,2.002364135,114.802629116,112.817123529,3
11:0:11 11:0:41 10065 100 17,2.002338936,119.402025029,117.418926431,3
11:0:11 11:0:41 10082 100 17,2.003170923,744.855333471,742.852222548,3
