flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:11 11:0:41 10013 100 17,2.000646989,9.732740107,9.733055507,584,594,8268,8268,7.732408518,1
11:0:11 11:0:41 10048 100 17,2.002679356,61.695679259,62.017464313,5969,6031,65847,65847,60.014784957,2
11:0:11 11:0:41 10020 100 17,2.000991382,6.824356846,6.824825845,112,118,8651,8651,4.823834463,1
11:0:11 11:0:41 10025 100 17,2.001297777,6.878238369,6.878426766,199,205,8232,8232,4.877128989,1
11:0:11 11:0:41 10003 100 17,2.000134797,6.679919464,6.68010786,455,459,8227,8227,4.679973063,1
11:0:11 11:0:41 10046 100 17,2.002411957,64.011521326,64.321036194,6411,6473,65613,65613,62.318624237,2
11:0:11 11:0:41 10001 100 17,2.000068399,6.679879264,6.680068261,241,245,8247,8247,4.679999862,1
11:0:11 11:0:41 10004 100 17,2.000174997,8.229229048,8.229353045,390,400,8226,8226,6.229178048,1
11:0:11 11:0:41 10002 100 17,2.000103398,6.33672899,7.079146549,199,208,8276,8276,5.079043151,1
11:0:11 11:0:41 10095 100 17,2.014168916,199.752301941,199.752267943,65812,65808,911106,909646,197.738099027,3
11:0:11 11:0:41 10044 100 17,2.002331559,6.824590842,6.82507984,169,180,8333,8333,4.822748281,1
11:0:11 11:0:41 10057 100 17,2.003932747,199.784479644,199.784453646,66240,66237,933554,932054,197.780520899,3
11:0:11 11:0:41 10071 100 17,2.007588136,199.746296959,199.746270961,66211,66208,945000,943500,197.738682825,3
11:0:11 11:0:41 10006 100 17,2.000245595,6.909684545,6.909993145,184,189,8230,8230,4.90974755,1
11:0:11 11:0:41 10009 100 17,2.000390792,6.849737804,6.850247602,111,115,8442,8442,4.84985681,1
11:0:11 11:0:41 10028 100 17,2.001486174,6.575290546,6.576072341,109,115,8422,8422,4.574586167,1
11:0:11 11:0:41 10018 100 17,2.000853184,6.770558535,6.770786333,255,259,8321,8321,4.769933149,1
11:0:11 11:0:41 10021 100 17,2.001070181,6.921333657,6.921522054,190,196,8378,8378,4.920451873,1
11:0:11 11:0:41 10010 100 17,2.000425991,7.079139347,7.079327545,201,205,8422,8422,5.078901554,1
11:0:11 11:0:41 10000 100 17,2,6.770183944,6.770278943,312,320,8213,8213,4.770278943,1
11:0:11 11:0:41 10039 100 17,2.002121964,6.877882171,6.878284369,185,192,8291,8291,4.876162405,1
11:0:11 11:0:41 10005 100 17,2.000216996,10.568284606,10.568594806,707,716,8267,8267,8.56837781,1
11:0:11 11:0:41 10079 100 17,2.00962293,199.755381931,199.755355933,66217,66214,937829,936329,197.745733003,3
11:0:11 11:0:41 10029 100 17,2.001548373,6.447898283,6.448157283,224,231,8199,8199,4.44660891,1
11:0:11 11:0:41 10038 100 17,2.002097765,8.403952432,8.404279232,407,417,8237,8237,6.402181467,1
11:0:11 11:0:41 10043 100 17,2.00228476,9.034494657,9.034813257,463,472,8305,8305,7.032528497,1
11:0:11 11:0:41 10030 100 17,2.001614572,6.824468845,6.824930443,463,466,8228,8228,4.823315871,1
11:0:11 11:0:41 10031 100 17,2.001647971,6.824501644,6.824973642,279,284,8327,8327,4.823325671,1
11:0:11 11:0:41 10032 100 17,2.00171197,6.680445056,6.680791248,103,109,8317,8317,4.679079278,1
11:0:11 11:0:41 10033 100 17,2.00182597,7.045542632,7.045699231,209,212,8282,8282,5.043873261,1
11:0:11 11:0:41 10052 100 17,2.003341952,149.490034932,149.791535044,36928,37077,65538,65538,147.788193092,2
11:0:11 11:0:41 10081 100 17,2.010245328,199.756626727,199.756600729,66217,66214,945000,943500,197.746355401,3
11:0:11 11:0:41 10019 100 17,2.000889983,6.680244258,6.680569451,137,143,8502,8502,4.679679468,1
11:0:11 11:0:41 10035 100 17,2.001934368,6.271801517,7.045520633,209,221,8204,8204,5.043586265,1
11:0:11 11:0:41 10037 100 17,2.002049366,6.769609351,6.769931751,298,304,8272,8272,4.767882385,1
11:0:11 11:0:41 10080 100 17,2.009934129,199.756004329,199.755978331,66217,66214,945000,943500,197.746044202,3
11:0:11 11:0:41 10040 100 17,2.002175963,6.352312212,7.086023281,189,193,8229,8229,5.083847318,1
11:0:11 11:0:41 10058 100 17,2.004243946,199.984718861,199.984692863,66280,66277,900218,898778,197.980448917,3
11:0:11 11:0:41 10041 100 17,2.002232162,6.009858663,6.824330848,94,98,8249,8249,4.822098686,1
11:0:11 11:0:41 10083 100 17,2.010859726,199.759039519,199.759013521,66218,66215,933626,932126,197.748153795,3
11:0:11 11:0:41 10042 100 17,2.002263161,9.923254985,9.923588585,657,669,8394,8394,7.921325424,1
11:0:11 11:0:41 10007 100 17,2.000276994,7.045480032,7.045653432,174,186,8352,8352,5.045376438,1
11:0:11 11:0:41 10045 100 17,2.002389958,69.668667836,69.980076322,7661,7730,65726,65726,67.977686364,2
11:0:11 11:0:41 10047 100 17,2.002657357,60.220831268,60.535062324,5733,5791,65686,65686,58.532404967,2
11:0:11 11:0:41 10094 100 17,2.013939116,199.773693476,199.773667478,66418,66414,718101,717008,197.759728362,3
11:0:11 11:0:41 10062 100 17,2.005466344,199.985020461,199.984994463,62720,62707,864264,862812,197.979528119,3
11:0:11 11:0:41 10011 100 17,2.00048939,6.849851403,6.850365801,146,149,8664,8664,4.849876411,1
11:0:11 11:0:41 10050 100 17,2.003112554,51.278901857,51.597312043,4095,4150,66208,66208,49.594199489,2
11:0:11 11:0:41 10051 100 17,2.003319953,53.38216997,53.699769353,4544,4600,65558,65558,51.6964494,2
11:0:11 11:0:41 10054 100 17,2.00357795,64.836101261,65.147786928,6622,6685,65657,65657,63.144208978,2
11:0:11 11:0:41 10056 100 17,2.003621548,199.780449857,199.780423859,66236,66233,945000,943500,197.776802311,3
11:0:11 11:0:41 10055 100 17,2.003599949,199.81248756,199.812461562,66302,66299,947744,946244,197.808861613,3
11:0:21 11:0:41 10097 100 17,2.016796113,199.79576801,199.795742012,66244,66241,945000,943500,197.778945899,3
11:0:21 11:0:41 10094 100 17,2.015866916,199.758421521,199.758391123,65882,65879,868064,866586,197.742524207,3
