,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,FCT Change,FCT % Change
17,11:0:11 11:0:41 10072 100 17,2.007969735,199.789763887,199.78966449,66033,66029,687497,686404,197.781694755,3,2.007969735,199.94960926,199.949509863,66280,66276,688590,687497,197.941540128,3,0.15984537300002444,0.08081909359611425
18,11:0:11 11:0:41 10070 100 17,2.007347337,199.839605742,199.839579744,66139,66136,945000,943500,197.832232407,3,2.007347337,199.704131982,199.704105984,66186,66183,945000,943500,197.696758647,3,-0.13547375999999645,-0.06847911402085706
19,11:0:11 11:0:41 10069 100 17,2.007036138,199.832579564,199.832553566,66131,66128,945000,943500,197.825517428,3,2.007036138,199.993982539,199.993956541,66381,66378,946500,945000,197.986920403,3,0.16140297499998724,0.08158855192112968
20,11:0:11 11:0:41 10068 100 17,2.006724939,199.821235595,199.821209597,66126,66123,945000,943500,197.814484658,3,2.006724939,199.981486171,199.981460173,66375,66372,946500,945000,197.974735234,3,0.16025057600000991,0.08101053685581516
21,11:0:11 11:0:41 10067 100 17,2.00642174,199.789460688,199.78943469,66104,66101,918340,916880,197.78301295,3,2.00642174,199.949306061,199.949280063,66349,66346,919800,918340,197.942858323,3,0.15984537299999602,0.08081855494860182
22,11:0:11 11:0:41 10091 100 17,2.013083919,199.865051266,199.865025268,66156,66153,945000,943500,197.851941349,3,2.013083919,199.728809308,199.72878331,66201,66198,945000,943500,197.715699391,3,-0.13624195799999939,-0.06886056162556224
23,11:0:11 11:0:41 10066 100 17,2.00619194,199.896434775,199.896408777,66175,66172,688590,687497,197.890216837,3,2.00619194,199.776570568,199.77654457,66253,66250,691869,690776,197.77035263,3,-0.11986420700000622,-0.060571062539558004
24,11:0:11 11:0:41 10065 100 17,2.005880741,199.894739978,199.89471398,66175,66172,936280,934780,197.888833239,3,2.005880741,199.760337216,199.760311218,66219,66216,936280,934780,197.754430477,3,-0.13440276200000767,-0.06791831545021183
25,11:0:11 11:0:41 10082 100 17,2.010626927,199.858072687,199.858038689,66154,66151,916939,915479,197.847411762,3,2.010626927,199.720988732,199.720962734,66196,66193,916939,915479,197.710335807,3,-0.13707595500000025,-0.06928367360443177
26,11:0:11 11:0:41 10064 100 17,2.005861542,199.923401295,199.923375297,66192,66189,942216,940716,197.917513755,3,2.005861542,199.788474931,199.788448933,66243,66240,942216,940716,197.782587391,3,-0.1349263639999947,-0.06817302897560577
27,11:0:11 11:0:41 10063 100 17,2.005558343,199.892028586,199.892002588,66172,66169,919800,918340,197.886444245,3,2.005558343,199.757241226,199.757215228,66216,66213,919800,918340,197.751656885,3,-0.13478736000001845,-0.06811348827570038
28,11:0:11 11:0:41 10061 100 17,2.005225545,199.790602487,199.790576489,54190,54156,791772,790272,197.785350944,3,2.005225545,199.95044786,199.950421862,54439,54405,793272,791772,197.945196317,3,0.15984537300002444,0.08081759960336107
29,11:0:11 11:0:41 10060 100 17,2.004916745,199.888120199,199.888094201,66172,66169,937440,935952,197.883177456,3,2.004916745,199.753469637,199.753443639,66215,66212,937440,935952,197.748526894,3,-0.13465056199999026,-0.06804548205212152
30,11:0:11 11:0:41 10012 100 17,2.00060319,23.327348681,23.676194408,809,833,8239,8239,21.675591218,1,2.00060319,6.974582921,6.974694523,346,352,8239,8239,4.974091333,1,-16.701499885,-77.05210767737039
31,11:0:11 11:0:41 10036 100 17,2.001965767,13.440453726,13.814171529,264,282,8364,8364,11.812205762,1,2.001965767,7.066691499,7.066832098,185,195,8364,8364,5.064866331,1,-6.747339430999999,-57.121756655359555
32,11:0:11 11:0:41 10024 100 17,2.001231178,14.81618863,15.18168064,304,318,8198,8198,13.180449462,1,2.001231178,6.821912853,6.822261053,174,178,8198,8198,4.821029875,1,-8.359419587000001,-63.42287196730803
33,11:0:11 11:0:41 10008 100 17,2.000334193,13.076596745,13.450725858,256,276,8325,8325,11.450391665,1,2.000334193,6.946738491,6.947077492,180,192,8325,8325,4.946743299,1,-6.503648365999999,-56.79847953043796
34,11:0:11 11:0:41 10034 100 17,2.001876169,15.400943435,15.763726707,323,336,8396,8396,13.761850538,1,2.001876169,6.906990342,6.907189141,196,198,8396,8396,4.905312972,1,-8.856537566,-64.35571685323008
35,11:0:11 11:0:41 10026 100 17,2.001364576,14.495427238,14.865861402,315,334,8300,8300,12.864496826,1,2.001364576,6.711273892,6.71165829,206,216,8300,8300,4.710293714,1,-8.154203112000001,-63.38532491624404
36,11:0:11 11:0:41 10022 100 17,2.00113678,15.294649919,15.656959774,322,336,8278,8278,13.655822994,1,2.00113678,6.712424075,6.712829673,192,196,8278,8278,4.711692893,1,-8.944130100999999,-65.49682216099175
37,11:0:11 11:0:41 10027 100 17,2.001432375,15.855182976,16.212506902,351,369,8316,8316,14.211074527,1,2.001432375,6.877087584,6.877274181,201,208,8316,8316,4.875841806,1,-9.335232720999999,-65.68984423566101
38,11:0:11 11:0:41 10049 100 17,2.002965155,28.499564562,28.843292994,1174,1200,53473,53473,26.840327839,2,2.002965155,27.847489007,28.190205533,1151,1177,53473,53473,26.187240378,2,-0.6530874610000019,-2.433232056320271
39,11:0:11 11:0:41 10017 100 17,2.000813585,16.383637566,16.738402526,394,415,8255,8255,14.737588941,1,2.000813585,7.265128674,7.265381273,250,259,8255,8255,5.264567688,1,-9.473021253,-64.27795815804062
40,11:0:11 11:0:41 10089 100 17,2.01259652,199.863519271,199.863493273,66155,66152,891525,890065,197.850896753,3,2.01259652,199.727277313,199.727251315,66201,66198,891525,890065,197.714654795,3,-0.13624195799999939,-0.06886092518958147
41,11:0:11 11:0:41 10016 100 17,2.000749786,15.219827662,15.583116505,342,362,8295,8295,13.582366719,1,2.000749786,6.525355162,6.52578076,212,222,8295,8295,4.525030974,1,-9.057335745,-66.68451774557039
42,11:0:11 11:0:41 10023 100 17,2.001184579,18.369289851,18.728210486,473,489,8348,8348,16.727025907,1,2.001184579,6.978691704,6.979040104,242,244,8348,8348,4.977855525,1,-11.749170382000003,-70.2406419845572
43,11:0:11 11:0:41 10073 100 17,2.008199535,199.852296706,199.852270708,66149,66146,939465,937965,197.844071173,3,2.008199535,199.715327149,199.715301151,66193,66190,939465,937965,197.707101616,3,-0.13696955700001467,-0.06923106474100249
44,11:0:11 11:0:41 10015 100 17,2.000727187,23.843898967,24.196407708,850,883,8207,8207,22.195680521,1,2.000727187,8.887397791,8.88772659,452,465,8207,8207,6.886999403,1,-15.308681117999999,-68.9714429053707
45,11:0:11 11:0:41 10014 100 17,2.000668988,16.122138825,16.478427573,356,370,8451,8451,14.477758585,1,2.000668988,6.913965482,6.91437028,207,209,8451,8451,4.913701292,1,-9.564057293000001,-66.0603451621928
46,11:0:11 11:0:41 10053 100 17,2.003441151,34.638412196,34.974950911,1756,1789,65685,65685,32.97150976,2,2.003441151,33.980381249,34.318443609,1729,1762,65685,65685,32.315002458,2,-0.6565073020000014,-1.9911350944458581
47,11:0:11 11:0:41 10059 100 17,2.004613546,199.887197001,199.887171003,66169,66166,916947,915487,197.882557457,3,2.004613546,199.752546439,199.752520441,66215,66212,916947,915487,197.747906895,3,-0.13465056199999026,-0.06804569524994639
48,11:0:11 11:0:41 10013 100 17,2.000646989,29.934666161,30.280838601,1320,1356,8268,8268,28.280191612,1,2.000646989,9.940400066,9.940713465,594,604,8268,8268,7.940066476,1,-20.340125135999997,-71.92357610253663
49,11:0:11 11:0:41 10048 100 17,2.002749756,65.170263979,65.488390012,6561,6627,65847,65847,63.485640256,2,2.002749756,60.413034104,60.727143962,5751,5811,65847,65847,58.724394206,2,-4.761246050000004,-7.499721245309518
50,11:0:11 11:0:41 10020 100 17,2.000991382,9.806759616,10.202374551,137,145,8651,8651,8.201383169,1,2.000991382,6.788406393,6.788803593,111,114,8651,8651,4.787812211,1,-3.4135709579999993,-41.621893376507344
51,11:0:11 11:0:41 10025 100 17,2.001297777,15.198295164,15.561482804,329,345,8232,8232,13.560185027,1,2.001297777,6.811362926,6.811576123,200,206,8232,8232,4.810278346,1,-8.749906680999999,-64.52645493832021
52,11:0:11 11:0:41 10003 100 17,2.000134797,29.281815725,29.627676782,1251,1280,8227,8227,27.627541985,1,2.000134797,6.768224186,6.768597985,456,460,8227,8227,4.768463188,1,-22.859078797000002,-82.7401830007571
53,11:0:11 11:0:41 10046 100 17,2.002482357,66.374706326,66.689306563,6790,6854,65613,65613,64.686824206,2,2.002482357,63.963708288,64.272896355,6397,6459,65613,65613,62.270413998,2,-2.416410207999995,-3.7355523905529155
54,11:0:11 11:0:41 10001 100 17,2.000068399,17.782888711,18.140029921,449,466,8247,8247,16.139961522,1,2.000068399,6.856564181,6.856925781,243,247,8247,8247,4.856857382,1,-11.283104139999999,-69.90787508768386
55,11:0:11 11:0:41 10004 100 17,2.000174997,22.665611093,23.012756816,754,783,8226,8226,21.012581819,1,2.000174997,8.411619144,8.411928744,395,405,8226,8226,6.411753747,1,-14.600828072000002,-69.48612120952046
56,11:0:11 11:0:41 10002 100 17,2.000103398,14.881781129,15.247100746,318,337,8276,8276,13.246997348,1,2.000103398,6.71213448,6.712547878,202,210,8276,8276,4.71244448,1,-8.534552868,-64.4263197447422
57,11:0:11 11:0:41 10095 100 17,2.014239316,199.846347522,199.846313524,65744,65740,911106,909646,197.832074208,3,2.014239316,199.715638348,199.71560435,65790,65786,911106,909646,197.701365034,3,-0.13070917400000326,-0.06607076962786937
58,11:0:11 11:0:41 10044 100 17,2.002401959,12.635374581,13.024733635,237,256,8333,8333,11.022331676,1,2.002401959,6.877191582,6.877377579,169,180,8333,8333,4.87497562,1,-6.1473560560000005,-55.77182974256926
