,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
20,11:0:11 11:0:41 10068 100 17,2.002834326,196.298588872,196.311984435,601207,601317,8214948,8214948,194.309150109,3,0,2.002834326,201.208281213,201.21978218,629215,629333,8214948,8214948,199.216947854,3,0,4.9077977450000105,2.525767696604573
21,11:0:11 11:0:41 10067 100 17,2.002808927,246.325435941,246.33273852,1246818,1246951,13013569,13013569,244.329929593,3,0,2.002808927,251.689941653,251.696756635,1298632,1298784,13013569,13013569,249.693947708,3,0,5.364018114999993,2.1953995255248793
22,11:0:11 11:0:41 10091 100 17,2.004206107,215.456506903,215.467792666,769017,769143,9418714,9418714,213.463586559,3,0,2.004206107,220.180346407,220.190657773,801324,801456,9418714,9418714,218.186451666,3,0,4.722865107000018,2.212492155281317
23,11:0:11 11:0:41 10066 100 17,2.002759129,121.921940333,121.940916072,113956,113986,2269192,2269192,119.938156943,3,0,2.002759129,122.948394285,122.966750414,115215,115252,2269192,2269192,120.963991285,3,0,1.0258343420000102,0.8553027394672513
24,11:0:11 11:0:41 10065 100 17,2.00273393,124.115794797,124.134365933,75523,75557,2290873,2290873,122.131632003,3,0,2.00273393,127.622636482,127.641884819,79749,79790,2290873,2290873,125.639150889,3,0,3.5075188859999997,2.8719168232467753
25,11:0:11 11:0:41 10082 100 17,2.003640115,741.974051546,741.974111546,46585127,46585507,108182849,108182849,739.970471431,3,0,2.003640115,734.786324784,734.786384784,45133516,45133873,108182849,108182849,732.782744669,3,0,-7.187726762000011,-0.9713531876616572
26,11:0:11 11:0:41 10064 100 17,2.002696131,175.942149827,175.957861579,747108,747265,1092205,1092205,173.955165448,3,0,2.002696131,167.393142553,167.393303555,707441,707445,1092205,1092205,165.390607424,3,0,-8.564558024000007,-4.923428402912353
27,11:0:11 11:0:41 10063 100 17,2.002678732,503.354573521,503.356360916,12570494,12570624,43169564,43169564,501.353682184,3,0,2.002678732,506.011797243,506.014000437,12626550,12626674,43169564,43169564,504.011321705,3,0,2.6576395210000214,0.5300927499769815
28,11:0:11 11:0:41 10061 100 17,2.002330535,3203.477388054,3203.477434052,222994560,222995000,266395219,266395219,3201.475103517,3,0,2.002330535,3207.078445259,3207.078491257,223882320,223882746,266395219,266395219,3205.076160722,3,0,3.601057204999961,0.11248118722035343
29,11:0:11 11:0:41 10060 100 17,2.002308136,3522.198521667,3522.198565265,223586962,223587424,266405262,266405262,3520.196257129,3,0,2.002308136,3525.729126091,3525.729169689,224463114,224463552,266405262,266405262,3523.726861553,3,0,3.530604424000103,0.10029567007379275
30,11:0:11 11:0:41 10012 100 17,2.000342988,95.543798819,95.563681953,2308,2308,7688,7688,93.563338965,1,0,2.000342988,95.103952425,95.103999024,2296,2296,7688,7688,93.103656036,1,0,-0.45968292899999597,-0.49130667426474944
31,11:0:11 11:0:41 10036 100 17,2.000978965,113.236160967,113.254466897,2751,2753,5165,5165,111.253487932,1,0,2.000978965,112.959009119,112.959263919,2741,2741,5165,5165,110.958284954,1,0,-0.29520297799999184,-0.26534267238472997
32,11:0:11 11:0:41 10024 100 17,2.000641376,118.598400424,118.617377969,2229,2230,4231,4231,116.616736593,1,0,2.000641376,118.259549149,118.259883548,2223,2223,4231,4231,116.259242172,1,0,-0.3574944209999984,-0.3065549863976019
33,11:0:11 11:0:41 10008 100 17,2.000225192,127.294781829,127.314409363,3792,3793,8068,8068,125.314184171,1,0,2.000225192,127.042432952,127.042729552,3787,3787,8068,8068,125.04250436,1,0,-0.2716798109999985,-0.2167989304620715
34,11:0:11 11:0:41 10034 100 17,2.000930567,83.150031487,83.171562223,1238,1238,4218,4218,81.170631656,1,0,2.000930567,83.045100354,83.045429154,1235,1235,4218,4218,81.044498587,1,0,-0.12613306899999088,-0.15539249409138647
35,11:0:11 11:0:41 10026 100 17,2.000691374,124.003044404,124.019855341,2077,2083,2299,2299,122.019163967,1,0,2.000691374,124.012932128,124.013263328,2081,2083,2299,2299,122.012571954,1,0,-0.006592013000002339,-0.005402440719709524
36,11:0:11 11:0:41 10022 100 17,2.000591378,107.716730591,107.737752115,4051,4052,5862,5862,105.737160737,1,0,2.000591378,107.491892405,107.492117407,4045,4045,5862,5862,105.491526029,1,0,-0.2456347079999972,-0.23230688840885783
37,11:0:11 11:0:41 10027 100 17,2.000716573,121.60631606,121.626013388,1972,1972,2224,2224,119.625296815,1,0,2.000716573,121.618436803,121.618765002,1972,1972,2224,2224,119.618048429,1,0,-0.007248386000000551,-0.006059241810041356
38,11:0:11 11:0:41 10049 100 17,2.00143695,5591.18348878,5591.183599578,448141,448141,33752,33752,5589.182162628,2,0,2.00143695,5591.182529414,5591.182640212,448141,448141,33752,33752,5589.181203262,2,0,-0.0009593659997335635,-1.7164693721173605e-05
39,11:0:11 11:0:41 10017 100 17,2.000465783,123.67267197,123.690634104,2084,2084,2286,2286,121.690168321,1,0,2.000465783,123.680832566,123.681061367,2084,2084,2286,2286,121.680595584,1,0,-0.009572736999999165,-0.007866483490061213
40,11:0:11 11:0:41 10089 100 17,2.004153108,317.005233576,317.008691965,5217339,5217639,28339067,28339067,315.004538857,3,0,2.004153108,319.236375774,319.241072556,5224236,5224539,28339067,28339067,317.236919448,3,0,2.2323805909999805,0.7086820396621002
41,11:0:11 11:0:41 10016 100 17,2.000440784,124.056385005,124.07473074,2071,2080,2293,2293,122.074289956,1,0,2.000440784,124.066882339,124.06717214,2074,2075,2293,2293,122.066731356,1,0,-0.007558599999995863,-0.006191803370488786
42,11:0:11 11:0:41 10023 100 17,2.000616177,118.930451477,118.951503806,1845,1845,2150,2150,116.950887629,1,0,2.000616177,118.929023915,118.929329316,1845,1845,2150,2150,116.928713139,1,0,-0.022174489999997604,-0.018960514494204706
43,11:0:11 11:0:41 10073 100 17,2.003022521,261.439240771,261.446337552,1267636,1267790,13485036,13485036,259.443315031,3,0,2.003022521,267.004837164,267.010335949,1325013,1325176,13485036,13485036,265.007313428,3,0,5.563998396999978,2.1445911590881246
44,11:0:11 11:0:41 10015 100 17,2.000415785,125.493906232,125.51071657,2083,2086,2293,2293,123.510300785,1,0,2.000415785,125.493286991,125.493515992,2083,2083,2293,2293,123.493100207,1,0,-0.017200578000000633,-0.01392643195804572
45,11:0:11 11:0:41 10014 100 17,2.000391386,98.843247245,98.865814371,3793,3794,6821,6821,96.865422985,1,0,2.000391386,98.292952313,98.293268313,3765,3765,6821,6821,96.292876927,1,0,-0.5725460580000004,-0.5910737189354569
46,11:0:11 11:0:41 10053 100 17,2.001653546,177.294774508,177.311940853,52689,52702,289758,289758,175.310287307,2,0,2.001653546,175.166580392,175.166857193,51978,51978,289758,289758,173.165203647,2,0,-2.1450836600000116,-1.223592575741766
47,11:0:11 11:0:41 10059 100 17,2.002282737,202.009239636,202.022878397,557901,558001,7664552,7664552,200.02059566,3,0,2.002282737,207.219756866,207.232450836,586051,586160,7664552,7664552,205.230168099,3,0,5.209572438999999,2.6045180106629418
48,11:0:11 11:0:41 10013 100 17,2.000365987,118.932293872,118.9530582,1839,1845,2150,2150,116.952692213,1,0,2.000365987,118.93392509,118.93423129,1839,1839,2150,2150,116.933865303,1,0,-0.018826910000001362,-0.016097885088196914
49,11:0:11 11:0:41 10048 100 17,2.001382151,192.038973446,192.050227406,648245,648373,804459,804459,190.048845255,2,0,2.001382151,130.066611237,130.066924037,437751,437752,804459,804459,128.065541886,2,0,-61.983303369,-32.61440672572004
50,11:0:11 11:0:41 10020 100 17,2.00054058,124.004466398,124.021815529,2071,2075,2281,2281,122.021274949,1,0,2.00054058,124.023811895,124.023887895,2071,2071,2281,2281,122.023347315,1,0,0.0020723659999930533,0.0016983644867333333
51,11:0:11 11:0:41 10025 100 17,2.000666575,121.606290861,121.625988589,1972,1972,2223,2223,119.625322014,1,0,2.000666575,121.621462792,121.621610394,1972,1972,2223,2223,119.620943819,1,0,-0.004378195000001028,-0.0036599232723391445
52,11:0:11 11:0:41 10003 100 17,2.000088397,129.659502461,129.679865395,2773,2774,7982,7982,127.679776998,1,0,2.000088397,129.55522691,129.55530031,2772,2772,7982,7982,127.555211913,1,0,-0.12456508500000041,-0.09756054398650119
53,11:0:11 11:0:41 10046 100 17,2.001306153,129.506946215,129.523625948,239217,239289,302860,302860,127.522319795,2,0,2.001306153,127.448710511,127.448802712,235670,235671,302860,302860,125.447496559,2,0,-2.0748232360000003,-1.627027519053454
54,11:0:11 11:0:41 10001 100 17,2.000025399,127.716998918,127.73542446,5676,5676,7993,7993,125.735399061,1,0,2.000025399,127.418611025,127.437741561,5662,5663,7993,7993,125.437716162,1,0,-0.29768289899999445,-0.23675345306342477
55,11:0:11 11:0:41 10004 100 17,2.000111396,125.145343848,125.162956584,1692,1692,3768,3768,123.162845188,1,0,2.000111396,125.157826417,125.158145617,1692,1692,3768,3768,123.158034221,1,0,-0.004810967000011601,-0.003906183713658105
56,11:0:11 11:0:41 10002 100 17,2.000050598,117.580472471,117.598801002,1059,1059,2555,2555,115.598750404,1,0,2.000050598,117.556191515,117.556510715,1059,1059,2555,2555,115.556460117,1,0,-0.04229028700000015,-0.03658368870961152
57,11:0:11 11:0:41 10095 100 17,2.004332503,131.400148114,131.419496257,55016,55048,2041051,2041051,129.415163754,3,0,2.004332503,135.30266416,135.320295096,59051,59082,2041051,2041051,133.315962593,3,0,3.9007988390000037,3.014174479904745
58,11:0:11 11:0:41 10044 100 17,2.001225756,127.361006391,127.378847128,2211,2211,2367,2367,125.377621372,1,0,2.001225756,127.370593996,127.370675594,2211,2211,2367,2367,125.369449838,1,0,-0.008171533999998815,-0.006517537907146582
59,11:0:11 11:0:41 10057 100 17,2.002207939,194.510327287,194.524380247,554304,554417,7499360,7499360,192.522172308,3,0,2.002207939,198.572785316,198.587360071,576359,576473,7499360,7499360,196.585152132,3,0,4.062979823999996,2.110395792490839
60,11:0:11 11:0:41 10071 100 17,2.002972723,140.104101249,140.121559788,138854,138904,3367597,3367597,138.118587065,3,0,2.002972723,143.356745406,143.376186939,144840,144892,3367597,3367597,141.373214216,3,0,3.254627150999994,2.3564005541617172
61,11:0:11 11:0:41 10006 100 17,2.000174594,128.184791449,128.203902178,1933,1933,2154,2154,126.203727584,1,0,2.000174594,128.196547238,128.196826237,1933,1933,2154,2154,126.196651643,1,0,-0.007075941000010744,-0.0056067606999175715
62,11:0:11 11:0:41 10009 100 17,2.000262991,102.995485094,103.016169824,2953,2955,4653,4653,101.015906833,1,0,2.000262991,102.730569173,102.730629972,2945,2945,4653,4653,100.730366981,1,0,-0.28553985199999943,-0.2826682063767
63,11:0:11 11:0:41 10028 100 17,2.000741372,125.656301039,125.673593779,2080,2080,2290,2290,123.672852407,1,0,2.000741372,125.669068158,125.669322558,2080,2080,2290,2290,123.668581186,1,0,-0.004271220999996217,-0.003453644770753636
64,11:0:11 11:0:41 10018 100 17,2.000490782,118.897421392,118.918102521,1842,1845,2153,2153,116.917611739,1,0,2.000490782,118.896059647,118.896288248,1842,1842,2153,2153,116.895797466,1,0,-0.021814272999989726,-0.018657816111302912
65,11:0:11 11:0:41 10021 100 17,2.000565979,121.435810471,121.454006203,1954,1954,2228,2228,119.453440224,1,0,2.000565979,121.442324055,121.442629855,1954,1954,2228,2228,119.442063876,1,0,-0.01137634799999887,-0.009523667111358079
66,11:0:11 11:0:41 10010 100 17,2.00028839,121.423720915,121.442270249,1951,1951,2215,2215,119.441981859,1,0,2.00028839,121.424621716,121.424731517,1951,1951,2215,2215,119.424443127,1,0,-0.01753873199999134,-0.014683892319114088
67,11:0:11 11:0:41 10000 100 17,2.0,118.360885624,118.380526757,1836,1836,2149,2149,116.380526757,1,0,2.0,118.370787968,118.371070767,1835,1836,2149,2149,116.371070767,1,0,-0.009455989999992198,-0.008125062038717266
68,11:0:11 11:0:41 10039 100 17,2.001052562,117.710087381,117.728584908,1171,1172,2685,2685,115.727532346,1,0,2.001052562,117.581206822,117.581563621,1171,1171,2685,2685,115.580511059,1,0,-0.14702128700000117,-0.12704088994176396
69,11:0:11 11:0:41 10005 100 17,2.000149595,124.971952657,124.989730992,2089,2089,2300,2300,122.989581397,1,0,2.000149595,124.970608279,124.97083668,2089,2089,2300,2300,122.970687085,1,0,-0.01889431200000047,-0.015362530537453595
70,11:0:11 11:0:41 10079 100 17,2.003556918,234.254110625,234.263831795,1696495,1696710,8662542,8662542,232.260274877,3,0,2.003556918,238.451881236,238.460811209,1755400,1755623,8662542,8662542,236.457254291,3,0,4.196979413999998,1.807015606186907
71,11:0:11 11:0:41 10029 100 17,2.000766171,118.192858834,118.21267036,2942,2943,5083,5083,116.211904189,1,0,2.000766171,117.923217785,117.923520585,2936,2936,5083,5083,115.922754414,1,0,-0.2891497749999985,-0.24881252658053243
72,11:0:11 11:0:41 10038 100 17,2.001029563,97.963294564,97.98380149,2335,2336,3952,3952,95.982771927,1,0,2.001029563,97.548488255,97.548711456,2333,2333,3952,3952,95.547681893,1,0,-0.4350900339999981,-0.4533001342479536
73,11:0:11 11:0:41 10043 100 17,2.001200557,128.166216114,128.185486047,2052,2052,2227,2227,126.18428549,1,0,2.001200557,128.178375303,128.178445302,2052,2052,2227,2227,126.177244745,1,0,-0.007040744999997628,-0.0055797320345056765
74,11:0:11 11:0:41 10030 100 17,2.00079097,126.853237842,126.872259176,1775,1775,3901,3901,124.871468206,1,0,2.00079097,126.811211588,126.811530389,1775,1775,3901,3901,124.810739419,1,0,-0.06072878700000217,-0.048633036731672054
75,11:0:11 11:0:41 10031 100 17,2.000829369,107.656397016,107.677193135,990,991,2547,2547,105.676363766,1,0,2.000829369,107.613759137,107.614078137,985,985,2547,2547,105.613248768,1,0,-0.06311499799998899,-0.05972480103473755
76,11:0:11 11:0:41 10032 100 17,2.000867369,125.477954092,125.496293023,2083,2089,2291,2291,123.495425654,1,0,2.000867369,125.494243587,125.494549787,2083,2083,2291,2291,123.493682418,1,0,-0.001743235999995818,-0.0014115794093296076
77,11:0:11 11:0:41 10033 100 17,2.000892768,122.963514096,122.981332431,1461,1461,3355,3355,120.980439663,1,0,2.000892768,122.952266268,122.952500069,1461,1461,3355,3355,120.951607301,1,0,-0.02883236200000283,-0.023832250965790436
