,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
21,11:0:11 11:0:41 10267 100 17,2.039363359,58.642624495,58.753962371,15202,15258,708288,708288,56.714599012,3,0,2.039363359,59.351331633,59.462250104,15566,15623,708288,708288,57.422886745,3,0,0.7082877329999988,1.2488631592901418
22,11:0:11 11:0:41 10264 100 17,2.038519161,83.190718151,83.29813264,31214,31295,1050000,1050000,81.259613479,3,0,2.038519161,83.204785122,83.304272634,31479,31560,1050000,1050000,81.265753473,3,0,0.006139994000008642,0.007556021665787774
23,11:0:11 11:0:41 10263 100 17,2.038207962,83.189475754,83.296890243,31214,31295,1050000,1050000,81.258682281,3,0,2.038207962,83.204473923,83.303961435,31478,31559,1050000,1050000,81.265753473,3,0,0.00707119199999795,0.008702075644723252
24,11:0:11 11:0:41 10260 100 17,2.037355764,83.187406759,83.294821248,31211,31292,1050000,1050000,81.257465484,3,0,2.037355764,83.397289364,83.486234913,31630,31711,1050000,1050000,81.448879149,3,0,0.1914136650000131,0.23556440489483815
25,11:0:11 11:0:41 10259 100 17,2.037044565,84.110312038,84.161856105,32138,32218,1048620,1048620,82.12481154,3,0,2.037044565,84.187451233,84.236965304,32401,32481,1048620,1048620,82.199920739,3,0,0.07510919900001056,0.09145737760801755
26,11:0:11 11:0:41 10257 100 17,2.036430167,83.192487946,83.299902435,31215,31296,1049303,1049303,81.263472268,3,0,2.036430167,83.487881509,83.568521281,31713,31794,1049303,1049303,81.532091114,3,0,0.2686188459999954,0.33055300063245313
27,11:0:11 11:0:41 10125 100 17,2.016917288,7.215556218,7.351028797,194,199,8213,8213,5.334111509,1,0,2.016917288,5.442321397,5.442985185,175,177,8213,8213,3.426067897,1,0,-1.9080436120000006,-35.770598510748165
28,11:0:11 11:0:41 10124 100 17,2.016852889,6.748856453,6.891275349,176,180,8304,8304,4.87442246,1,0,2.016852889,5.772526032,5.772763433,176,179,8304,8304,3.755910544,1,0,-1.118511916,-22.946552646567284
29,11:0:11 11:0:41 10117 100 17,2.016538096,7.643257874,7.772003916,216,221,8327,8327,5.75546582,1,0,2.016538096,6.027542086,6.027861684,202,204,8327,8327,4.011323588,1,0,-1.7441422320000006,-30.304101988394756
30,11:0:11 11:0:41 10123 100 17,2.01682749,8.309392741,8.442059415,259,265,7965,7965,6.425231925,1,0,2.01682749,6.382286333,6.382405131,237,239,7965,7965,4.365577641,1,0,-2.0596542840000005,-32.055718891423524
31,11:0:11 11:0:41 10246 100 17,2.034084177,13.009555277,13.136196446,663,674,65999,65999,11.102112269,2,0,2.034084177,14.102755421,14.229783416,742,754,65999,65999,12.195699239,2,0,1.0935869700000005,9.850260414440063
32,11:0:11 11:0:41 10122 100 17,2.016796091,7.897683216,8.030763873,229,235,8458,8458,6.013967782,1,0,2.016796091,6.115002007,6.115352207,211,213,8458,8458,4.098556116,1,0,-1.9154116659999998,-31.849383558935727
33,11:0:11 11:0:41 10120 100 17,2.016722693,20.30746044,20.42738425,1707,1725,8250,8250,18.410661557,1,0,2.016722693,12.816563732,12.816793533,1277,1280,8250,8250,10.80007084,1,0,-7.610590717000001,-41.33795351914632
34,11:0:11 11:0:41 10112 100 17,2.016275501,6.991006017,7.129397955,185,190,8354,8354,5.113122454,1,0,2.016275501,5.663655043,5.663903242,180,182,8354,8354,3.647627741,1,0,-1.465494713,-28.6614436909005
35,11:0:11 11:0:41 10205 100 17,2.031770814,5.840972561,5.987807017,145,148,8363,8363,3.956036203,1,0,2.031770814,5.334473356,5.335284144,151,153,8363,8363,3.30351333,1,0,-0.6525228730000001,-16.494360504213013
36,11:0:11 11:0:41 10020 100 17,2.000991382,4.983852651,5.131497681,88,91,8651,8651,3.130506299,1,0,2.000991382,5.306148009,5.306611807,95,98,8651,8651,3.305620425,1,0,0.17511412599999998,5.5937956763076295
37,11:0:11 11:0:41 10164 100 17,2.02237145,84.668004255,84.690264809,33490,33571,1049310,1049310,82.667893359,3,0,2.02237145,84.765182021,84.786622977,33913,33995,1049310,1049310,82.764251527,3,0,0.09635816799999475,0.11656057035534012
38,11:0:11 11:0:41 10097 100 17,2.014783314,103.13806347,103.138687868,32594,32670,1049369,1049369,101.123904554,3,0,2.014783314,103.620187485,103.620811883,33071,33147,1049369,1049369,101.606028569,3,0,0.4821240149999966,0.4767656244350643
39,11:0:11 11:0:41 10109 100 17,2.016179304,13.747343854,13.873857252,758,769,8241,8241,11.857677948,1,0,2.016179304,8.833181636,8.833496435,595,597,8241,8241,6.817317131,1,0,-5.040360816999999,-42.50714886256581
40,11:0:11 11:0:41 10093 100 17,2.013635917,84.377964137,84.424387015,32877,32959,1049740,1049740,82.410751098,3,0,2.013635917,84.383940512,84.427089803,33057,33139,1049740,1049740,82.413453886,3,0,0.002702787999993461,0.0032796546129999463
