,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
20,11:0:11 11:0:41 10068 100 17,2.002414333,636.93726205,637.016068435,1936841,1937431,8214948,8214948,635.013654102,3,0,2.002414333,625.42200052,625.487067082,1925544,1926118,8214948,8214948,623.484652749,3,0,-11.529001353000012,-1.8155517253095395
21,11:0:11 11:0:41 10067 100 17,2.002388934,851.059537099,851.107284175,4436028,4436829,13013569,13013569,849.104895241,3,0,2.002388934,841.684273721,841.730711959,4389161,4389961,13013569,13013569,839.728323025,3,0,-9.376572216,-1.104289030548889
22,11:0:11 11:0:41 10091 100 17,2.003711916,708.117800905,708.183894297,2576392,2577058,9418714,9418714,706.180182381,3,0,2.003711916,697.7644212,697.832025172,2551452,2552094,9418714,9418714,695.828313256,3,0,-10.351869125000007,-1.4658962943560687
23,11:0:11 11:0:41 10066 100 17,2.002364135,266.468244162,266.59953745,211557,211774,2269192,2269192,264.597173315,3,0,2.002364135,271.47640147,271.577567313,218859,219067,2269192,2269192,269.575203178,3,0,4.978029862999961,1.8813616943192626
24,11:0:11 11:0:41 10065 100 17,2.002338936,262.129337125,262.26737022,153912,154098,2290873,2290873,260.265031284,3,0,2.002338936,265.710362497,265.832137247,157437,157626,2290873,2290873,263.829798311,3,0,3.5647670270000162,1.3696680685121156
25,11:0:11 11:0:41 10082 100 17,2.003170923,1949.015272089,1949.020804871,111213797,111215393,108182849,108182849,1947.017633948,3,0,2.003170923,1782.707865828,1782.715355416,87763107,87764401,108182849,108182849,1780.712184493,3,0,-166.30544945499992,-8.541548189154282
26,11:0:11 11:0:41 10064 100 17,2.002301137,236.836382332,236.836612532,958959,958962,1092205,1092205,234.834311395,3,0,2.002301137,689.103552335,689.177014325,2737677,2738319,1092205,1092205,687.174713188,3,0,452.34040179300007,192.62108637615003
27,11:0:11 11:0:41 10063 100 17,2.002283738,1440.412656138,1440.424328889,33424213,33425327,43169564,43169564,1438.422045151,3,0,2.002283738,1428.712802611,1428.724991568,33146814,33147897,43169564,43169564,1426.72270783,3,0,-11.69933732100003,-0.8133452459547003
28,11:0:11 11:0:41 10061 100 17,2.00210134,4683.963565077,4683.963611075,551877804,551879767,266395219,266395219,4681.961509735,3,0,2.00210134,4614.525622416,4614.525668414,543399214,543401097,266395219,266395219,4612.523567074,3,0,-69.4379426609994,-1.4830951197830244
29,11:0:11 11:0:41 10060 100 17,2.002078941,5003.268909986,5003.268953584,552769735,552771647,266405262,266405262,5001.266874643,3,0,2.002078941,4933.685182386,4933.685225984,544267623,544269497,266405262,266405262,4931.683147043,3,0,-69.5837276000002,-1.3913220258810368
30,11:0:11 11:0:41 10012 100 17,2.000342988,95.109960874,95.110235872,2290,2290,7688,7688,93.109892884,1,0,2.000342988,95.671031442,95.671165243,2307,2307,7688,7688,93.670822255,1,0,0.5609293710000003,0.6024379941010439
31,11:0:11 11:0:41 10036 100 17,2.000978965,114.077533823,114.077691823,2772,2773,5165,5165,112.076712858,1,0,2.000978965,114.871324018,114.87137282,2788,2789,5165,5165,112.870393855,1,0,0.7936809970000098,0.70815870376712
